"","Predicted"
"102PS0139_8.9.10_1",0.0370223072395014
"103FCA168_7.24.13_1",0.0267224934884268
"103PS0217_9.10.13_1",0.0247138874590626
"103RDCBCC_7.21.11_1",0.0219702339781347
"105PS0028_8.12.08_1",0.0316457327093585
"105PS0028_8.26.08_1",0.0316457327093585
"105PS0067_8.24.09_1",0.0173835156257943
"105PS0067_8.24.09_2",0.0173835156257943
"105PS0067_9.15.09_1",0.0173835156257943
"105PS0069_8.18.09_1",0.0194603042166976
"105PS0092_8.11.08_1",0.0662537155329528
"105PS0107_9.14.09_1",0.00360886924688791
"105PS0129_8.11.10_1",0.0581671902167878
"105PS0129_8.11.10_2",0.0581671902167878
"105PS0149_8.29.12_1",0.0656149782390814
"105PS0211_8.20.13_1",0.047602629472731
"105PS0211_9.16.13_1",0.047602629472731
"105PS0231_8.29.13_1",0.0249589470906826
"105PS0276_9.1.09_1",0.0548986372072661
"105PS0276_9.22.09_1",0.0548986372072661
"105PS0540_8.5.10_1",0.101798831370633
"105PS1148_9.18.12_1",0.00864478702547029
"105PS1404_8.28.13_1",0.0546795602772054
"105PS1404_8.28.13_2",0.0546795602772054
"106FCA036_7.15.13_1",0.0172630280643009
"106HLCACC_9.23.13_1",0.0577904778368197
"106PS0022_9.30.08_1",0.00991240434452646
"106PS0051_9.16.08_1",0.038188405784941
"106PS0051_9.16.08_2",0.038188405784941
"106PS0106_9.8.09_1",0.00258545684569085
"106PS0106_9.8.09_2",0.00258545684569085
"106PS0122_9.20.10_1",0.0259981214840578
"106PS0142_7.19.10_1",0.0140204611531027
"106PS0206_10.3.12_1",0.0162737644169748
"106PTCAHC_9.2.08_1",0.0182466205956717
"107GWCAPC_9.15.10_1",0.0718343053877347
"107RWCBHW_8.3.11_1",0.0549065932333461
"107RWCBHW_8.3.11_2",0.0549065932333461
"108PS0197_8.16.12_1",0.0265050144179745
"110PS0114_7.21.10_1",0.0175069733898301
"110SMCATH_7.27.11_1",0.0263187237326851
"111CE0569_10.11.10_1",0.0167808443090292
"111FCA207_7.23.13_1",0.0135733278344358
"111PS0008_9.29.08_1",0.041931736836262
"111PS0008_9.9.08_1",0.041931736836262
"111PS0008_9.9.08_2",0.041931736836262
"111PS0013_8.19.08_1",0.0198411836451128
"111PS0095_8.27.09_1",0.018170053421387
"111PS0095_8.27.09_2",0.018170053421387
"111PS0121_7.20.10_1",0.01713848423508
"111PS0159_7.14.11_1",0.0464342234869281
"111PS0169_7.25.11_1",0.0185584122827824
"111PS0169_7.25.11_2",0.0185584122827824
"111PS0178_8.14.12_1",0.036311952556782
"111PS0237_9.12.13_1",0.0126136451597761
"112PS0157_7.12.11_1",0.0128077534810245
"113GAR011_8.22.11_1",0.0186786849037697
"113GAR011_9.1.10_1",0.0186786849037697
"113GAR015_8.23.11_1",0.00586299804315064
"113GAR015_8.31.10_1",0.00586299804315064
"113GAR015_9.9.13_1",0.00586299804315064
"113GAR023_7.22.14_1",0.0131344309523594
"113GAR023_8.5.13_1",0.0131344309523594
"113GAR030_8.26.09_1",0.00917730845122
"113GAR030_8.26.09_2",0.00917730845122
"113GAR030_8.28.12_1",0.00917730845122
"113GAR042_9.10.13_1",0.0110389029104918
"113GAR062_6.30.09_1",0.0140567599074176
"113GAR062_8.27.12_1",0.0140567599074176
"113GAR087_6.29.10_1",0.0109052723190397
"113GAR087_8.6.13_1",0.0109052723190397
"113GAR087_9.11.12_1",0.0109052723190397
"113GAR087_9.11.12_2",0.0109052723190397
"113GAR089_6.14.10_1",0.0303864146559866
"113GAR089_6.20.11_1",0.0303864146559866
"113GAR089_8.5.09_1",0.0303864146559866
"113GAR105_6.14.10_1",0.0225789647551114
"113GAR105_6.20.11_1",0.0225789647551114
"113GAR105_8.4.09_1",0.0225789647551114
"113GAR112_6.15.10_1",0.0139180786480953
"113GAR112_7.22.14_1",0.0139180786480953
"113GAR112_8.22.11_1",0.0139180786480953
"113GAR112_8.4.09_1",0.0139180786480953
"113GAR112_8.4.09_2",0.0139180786480953
"113GAR112_8.7.13_1",0.0139180786480953
"113GAR118_7.26.10_1",0.0225867229055428
"113GAR118_9.10.12_1",0.0225867229055428
"113GAR178_6.21.11_1",0.0159313086295767
"113GAR178_7.23.14_1",0.0159313086295767
"113GAR178_8.31.10_1",0.0159313086295767
"113GAR178_9.9.13_1",0.0159313086295767
"113GAR178_9.9.13_2",0.0159313086295767
"113GAR244_6.28.10_1",0.013001021210673
"113PS0012_9.9.08_1",0.00409138498710184
"113PS0012_9.9.08_2",0.00409138498710184
"113PS0076_8.2.12_1",0.0231964455004874
"113PS0076_8.22.12_1",0.0231964455004874
"113PS0120_9.14.10_1",0.0246291939765428
"113PS0168_7.6.11_1",0.0143392100385456
"113PS0216_9.3.13_1",0.0233976180084493
"113PS0232_9.4.13_1",0.0174833934370721
"113PS0232_9.4.13_2",0.0174833934370721
"113PS0268_6.11.14_1",0.0149558113637593
"114AU7778_6.21.10_1",0.0118218755803328
"114FCA199_8.1.13_1",0.0334441780492048
"114GV3469_7.5.11_1",0.025565432578633
"114GV5331_7.6.11_1",0.021228966048553
"114MA2364_7.6.10_1",0.00867853210805578
"114MRCURX_6.24.08_1",0.00857155144858848
"114PS0088_8.19.09_1",0.00282054383089411
"114PS0209_6.10.13_1",0.0172966593429091
"114PS0229_6.4.13_1",0.0174285882320499
"114WER118_8.20.08_1",0.0140601526220598
"115SALG01_6.30.10_1",0.011768063411716
"115SC6093_7.7.11_1",0.00871792896364313
"115SC6093_7.7.11_2",0.00871792896364313
"201LAG190_10.6.08_1",0.0188917389869806
"201LAG380_7.14.09_1",0.0163467717763905
"201RDW080_4.29.09_1",0.0283500362572845
"201RDW080_5.7.08_1",0.0283500362572845
"201RDW080_6.2.10_1",0.0283500362572845
"201RDW080_6.23.08_1",0.0283500362572845
"201RDW080_6.3.09_1",0.0283500362572845
"201RDW080_6.3.09_2",0.0283500362572845
"201RDW080_8.11.09_1",0.0283500362572845
"201RDW080_8.12.08_1",0.0283500362572845
"202LAH950_6.13.12_1",0.00805618985162383
"202MIC150_5.7.14_1",0.0139274040550078
"202PES162_4.27.09_1",0.00664690074772838
"202PES162_5.1.08_1",0.00664690074772838
"202PES162_6.16.09_1",0.00664690074772838
"202PES162_6.18.08_1",0.00664690074772838
"202PES162_6.7.10_1",0.00664690074772838
"202PES162_8.17.09_1",0.00664690074772838
"202PES162_9.10.08_1",0.00664690074772838
"202PES162_9.10.08_2",0.00664690074772838
"202PS0246_6.5.13_1",0.0249851270357221
"202R00248_5.23.13_1",0.02351413765768
"202R00248_5.23.13_2",0.02351413765768
"202TUN600_5.12.14_1",0.00601580957863664
"203R00983_6.6.13_1",0.0231553252471486
"204ALA320_6.17.13_1",0.00790356710136705
"204ALA382_6.11.13_1",0.00778571278307425
"204ALA396_6.24.13_1",0.0081882479931513
"204ALA410_5.8.13_1",0.0204907222343609
"204ALA525_5.22.12_1",0.0111500556333408
"204IND200_5.20.08_1",0.0138799866311063
"204IND200_5.20.08_2",0.0138799866311063
"204IND200_6.16.08_1",0.0138799866311063
"204R00590_5.8.13_1",0.0173222008135714
"204R00647_6.18.12_1",0.0203664661477397
"204R00751_6.5.13_1",0.0294359700830467
"204R00751_6.5.13_2",0.0294359700830467
