"","Predicted"
"102PS0177_8.28.12_1",0.0453956292272909
"103CDCHHR_9.14.10_1",0.0828528006507001
"103STCNSR_8.9.11_1",0.0158788960916101
"103WER026_8.15.12_1",0.0192868713373057
"103WER029_7.16.14_1",0.0316867516464408
"103WER030_8.10.11_1",0.0137109781391227
"105BVCAGC_9.21.10_1",0.0700859654557622
"105CE0329_7.23.14_1",0.0281846465160613
"105CLCATC_8.10.10_1",0.011687531973429
"105DLCDCC_10.20.09_1",0.0158169674982505
"105FCA116_7.16.13_1",0.0563322632107243
"105FS0416_9.24.13_1",0.0447427304711562
"105FS0425_8.10.11_1",0.00987531207819153
"105FS0428_8.3.11_1",0.0349946022680384
"105NWC151_6.26.13_1",0.0257973262832965
"105PS0043_9.17.08_1",0.0589811760021536
"105PS0083_9.8.09_1",0.0619625247561916
"105PS0090_8.7.12_1",0.0531243855191995
"105PS0097_7.22.14_1",0.0064452895091932
"105PS0154_8.9.11_1",0.0253519963221438
"105PS0195_8.7.12_1",0.0450417295570154
"105PS0259_9.17.13_1",0.0655894138918077
"105PS0267_7.21.14_1",0.0382993459592037
"105PS0468_9.1.09_1",0.010633150991996
"105PS0540_9.15.10_1",0.101798831370633
"105PS1492_8.6.14_1",0.0191213960377485
"105WE0598_7.24.14_1",0.00597907686347556
"105WLC135_6.26.13_1",0.013681434859764
"105WLCABC_8.3.11_1",0.0105360982096208
"106FS0040_8.30.11_1",0.0175339921842536
"106PS0115_9.21.10_1",0.0517083360881015
"106PS0124_8.16.10_1",0.0447035502240708
"106PS0166_8.2.11_1",0.0950428373767129
"106WE0505_7.21.14_1",0.0226957328285851
"106WER011_9.11.13_1",0.0479316902265814
"107PS0021_7.14.14_1",0.0154148151637989
"107WER092_8.27.12_1",0.0868405586430698
"111BBRBCC_9.23.09_1",0.0112206803112488
"111CBCAER_8.8.13_1",0.00798711323509624
"111ERATRC_10.10.12_1",0.0218027492893709
"111FS0001_7.5.11_1",0.00865278908703217
"111FS0008_7.19.12_1",0.00612502715503044
"111HSCAER_7.26.11_1",0.0147820443491526
"111PS0060_10.7.08_1",0.0228439095586623
"111PS0110_6.9.14_1",0.00467942954738542
