"","Predicted"
"103KLCMSR_9.14.10_1",0.0269884205011953
"105PS0193_8.29.12_1",0.038258226378326
"105PS0660_8.3.10_1",0.0256795422427094
"105TMCACC_8.10.10_1",0.0111472062840111
"106MNCAHC_10.1.08_1",0.0126952520601412
"106WE1079_8.8.12_1",0.028691404831905
"106WER016_10.20.09_1",0.0176640274283716
"107LLM101_9.13.10_1",0.0769083893739779
"111BGCAER_6.11.14_1",0.0341562677795682
"111FS0007_7.11.11_1",0.0119435579709353
"111PAL105_7.13.11_1",0.0152461714954558
"202SPE090_6.15.09_1",0.0128762282393489
"205AAG075_6.12.13_1",0.0140321464943259
"205COY850_5.21.12_1",0.0109285873200048
"205SFC880_6.19.12_1",0.0217417393859435
"206BRC020_6.27.12_1",0.0176773050047422
"207SUI290_6.4.12_1",0.01358564547509
"307CMRADC_5.20.14_1",0.0186976873127319
"308LSRASC_7.18.11_1",0.0269565146441599
"308MWCAH1_6.23.10_1",0.029255461976406
"308PS0156_6.19.12_1",0.0322426857361441
"308ROCBBQ_6.21.12_1",0.0138549482268273
"309ARCBRC_8.25.08_1",0.0107061014472019
"309PS0116_6.16.11_1",0.0127100749035751
"312PS0099_6.14.10_1",0.0133461053592636
"315CHCALS_6.15.10_1",0.0187610727472931
"402BA0095_5.29.08_1",0.0187301348626997
"402M00009_6.29.15_1",0.0209321367009471
"403S00960_6.2.10_1",0.0234427595071045
"403S01536_7.12.11_1",0.0093549327710359
"403WE0540_5.14.14_1",0.0328521692798526
"403WE0683_5.15.13_1",0.00618314892720402
"505PS0110_9.16.10_1",0.0134088939271312
"513CCNASC_7.16.14_1",0.0143914857364883
"513STCAIV_6.12.14_1",0.0152224244620658
"513UNCAKC_9.23.09_1",0.0153053814411335
"514SSC190_9.11.14_1",0.0497145520507131
"517FCA046_8.14.13_1",0.0206299314280279
"518BTCASC_6.12.13_1",0.0483509374480449
"518FCA075_8.12.13_1",0.0390258057748698
"518SPC134_6.18.13_1",0.0494155530499582
"522GSCBSC_9.24.09_1",0.0231374561006451
"522PS0504_6.11.13_1",0.00277975621030649
"526PNCAMF_6.25.13_1",0.0645281566514186
"526PS1420_6.25.13_1",0.0456643142702467
"534MLC108_9.14.11_1",0.0544759826166985
"536HLCBFM_6.18.13_1",0.0466460175550405
"537TYCAML_7.16.08_1",0.0523707575390063
"540SED003_8.30.11_1",0.0495197494532892
"552DKC268_6.23.14_1",0.0926945705173065
"552MFCAKR_6.11.08_1",0.0273283362475586
"553KRNAYC_6.17.14_1",0.0158284915951679
"554CLCALK_8.23.11_1",0.0883947009415134
"603DDM005_9.13.11_1",0.0525856331078712
"603FCA145_8.21.13_1",0.0508798827682862
"603PS0008_7.30.08_1",0.109349520741577
"603PS0075_8.15.12_1",0.0750714934923973
"603PS0109_7.29.08_1",0.0457240069162645
"603PS0557_8.18.10_1",0.066590140364475
"603SPCBWC_7.22.08_1",0.0877768207188934
"631DEP001_8.28.12_1",0.0653396941747518
"631PS0033_8.30.10_1",0.0495964815755583
"632ELD001_9.8.11_1",0.0749360217266828
"634CAT055_10.4.11_1",0.0408876753963131
"634GRF001_10.3.11_1",0.0505930101097691
"634HHCATC_10.4.11_1",0.0757005423144147
"634PS0035_9.1.10_1",0.115065547989045
"634PS0062_10.12.11_1",0.0358221163047393
"634WSN001_10.4.11_1",0.0550787410786998
"636SAG001_7.12.10_1",0.0796958022022997
"639PS1279_6.11.13_1",0.043646913496202
"641OWC157_7.24.13_1",0.0506321764994194
"722NP7IDC_4.16.14_1",0.00972729520279757
"801DRC025_6.25.14_1",0.0131859425547043
"801S03488_5.7.14_1",0.0709628916270284
"801WE0674_5.14.13_1",0.0114498563666864
"801WE1008_5.14.13_1",0.0532817903532413
"801WE1132_8.19.09_1",0.05734479658156
"901ATCAAS_6.5.08_1",0.0260715642546812
"901CSCADC_5.26.11_1",0.0155842380059525
"901S06969_5.31.12_1",0.00850277439588281
"903WE0798_4.8.15_1",0.0354494331099916
"905BCC_6.11.14_1",0.0291335618101204
"905S02561_5.25.11_1",0.00815731543609163
"909JQCASR_6.1.11_1",0.0332670623647306
"911S03354_5.5.09_1",0.0106937972242147
"911TJIND2_5.8.08_1",0.0138088905650431
"911TJLCC2_4.7.15_1",0.037086289097138
"SCFC1_6.12.08_1",0.0182111612650074
"SCSS1_6.17.08_1",0.00721973232641135
"SMAD1_11.5.08_1",0.0120557206508557
"SMC00135_6.7.10_1",0.0515180026303432
"SMC01979_7.14.11_1",0.0155142628179309
"SMC02139_7.17.12_1",0.0130963508005614
"SMC04204_7.11.12_1",0.0237017250743908
"SMC04383_5.19.14_1",0.0150463691946244
"SMC06467_6.28.10_1",0.0119673063866711
"SMC19809_6.25.13_1",0.0116596423738253
