"","Predicted"
"105PS0188_8.26.08_1",0.0137128116571302
"105PS0188_8.26.08_2",0.0137128116571302
"106FC1183_7.24.14_1",0.00921086761761099
"106FC1313_7.23.14_1",0.0126390219339211
"106PS0078_8.26.09_1",0.00423795363888228
"106PS0173_8.4.11_1",0.0138887435117236
"106PS0186_9.26.12_1",0.0296292283722292
"109PS0162_7.20.11_1",0.0511034261766778
"110ECSLSF_7.26.11_1",0.0199997115924355
"110FCA102_7.25.13_1",0.0277962157570287
"111CR1012_8.18.14_1",0.0274849752635873
"111PS0057_8.18.08_1",0.0144330380716033
"113GAR010_6.8.09_1",0.0223407448146327
"113GAR010_8.27.12_1",0.0223407448146327
"113GAR038_6.8.09_1",0.0279529745545218
"113GAR038_9.10.12_1",0.0279529745545218
"113GAR046_6.18.12_1",0.0141063851873728
"113GAR046_6.8.09_1",0.0141063851873728
"113GAR046_9.2.14_1",0.0141063851873728
"113GAR061_6.19.12_1",0.0176170287984266
"113GAR061_7.1.09_1",0.0176170287984266
"113GAR061_9.3.14_1",0.0176170287984266
"113GAR061_9.3.14_2",0.0176170287984266
"113GAR084_6.28.10_1",0.0282381298843842
"113GAR094_7.27.10_1",0.00917730845122
"113GAR094_7.27.10_2",0.00917730845122
"113GAR110_6.18.12_1",0.0160067562821099
"113GAR110_6.30.09_1",0.0160067562821099
"113GAR110_9.2.14_1",0.0160067562821099
"113PS0084_8.18.09_1",0.0281888693990225
"113PS0100_8.25.09_1",0.0281894340407167
"113PS0132_9.15.10_1",0.0286640755959155
"113PS0196_8.1.12_1",0.0131451171615104
"114CR0903_8.26.13_1",0.00662758536637355
"114CR0903_9.25.13_1",0.00662758536637355
"114PS0149_7.10.12_1",0.00540381937988844
"114PS0152_7.7.11_1",0.0258633935499825
"114PS0152_8.18.11_1",0.0258633935499825
"114RR1041_10.10.11_1",0.0248989226308097
"114RR1041_10.25.11_1",0.0248989226308097
"114RR1041_10.25.11_2",0.0248989226308097
"114RR1041_8.2.11_1",0.0248989226308097
"114RR1041_9.7.11_1",0.0248989226308097
"114RR1310_6.2.11_1",0.0254728451641731
"114RR1599_10.10.11_1",0.025198898716817
"114RR1599_10.25.11_1",0.025198898716817
"114RR1599_6.2.11_1",0.025198898716817
"114RR1599_6.27.11_1",0.025198898716817
"114RR1599_8.2.11_1",0.025198898716817
"114RR1599_8.2.11_2",0.025198898716817
"114RR1599_9.7.11_1",0.025198898716817
"114RR2678_10.11.11_1",0.0237132800399331
"114RR2678_10.24.11_1",0.0237132800399331
"114RR2678_6.29.11_1",0.0237132800399331
"114RR2678_8.1.11_1",0.0237132800399331
"114RR2678_9.13.11_1",0.0237132800399331
"114RR2769_6.1.11_1",0.0237601870580357
"114RR2899_10.11.11_1",0.0232546702087177
"114RR2899_10.24.11_1",0.0232546702087177
"114RR2899_6.1.11_1",0.0232546702087177
"114RR2899_6.29.11_1",0.0232546702087177
"114RR2899_8.1.11_1",0.0232546702087177
"114RR2899_9.13.11_1",0.0232546702087177
"202BUT850_6.4.13_1",0.0221656547466557
"202PS0134_5.31.11_1",0.0242256205313796
"202R00087_5.30.12_1",0.0162918785122077
"202R00284_6.15.12_1",0.0324612750262773
"202R00908_5.21.13_1",0.0248673442001443
"203PS0070_7.19.10_1",0.0206438646536636
"203PS0070_9.7.10_1",0.0206438646536636
"203R00039_5.14.12_1",0.0218325370659651
"204ALP040_4.10.11_1",0.0158496522615986
"204ALP040_6.29.11_1",0.0158496522615986
"204ALP105_4.10.11_1",0.0181897784601379
"204ALP151_4.10.11_1",0.0250340828267876
"204ALP151_6.29.11_1",0.0250340828267876
"204PS0038_6.19.08_1",0.0262366440296189
"204PS0094_7.14.10_1",0.0217703559379515
"204PS0102_6.15.11_1",0.00854917347122995
