"","Predicted"
"102PS0139_8.9.10_1",0.181946328952289
"103FCA168_7.24.13_1",0.103574162873794
"103PS0217_9.10.13_1",0.0513080022412708
"103RDCBCC_7.21.11_1",0.167689284227346
"105PS0028_8.12.08_1",0.171744254602439
"105PS0028_8.26.08_1",0.161465230276736
"105PS0067_8.24.09_1",0.0981757351069649
"105PS0067_8.24.09_2",0.0981757351069649
"105PS0067_9.15.09_1",0.158660849929806
"105PS0069_8.18.09_1",0.0969424111571414
"105PS0092_8.11.08_1",0.172011684061017
"105PS0107_9.14.09_1",0.177874437684826
"105PS0129_8.11.10_1",0.121825809380671
"105PS0129_8.11.10_2",0.121825809380671
"105PS0149_8.29.12_1",0.135442567527702
"105PS0211_8.20.13_1",0.174761928927575
"105PS0211_9.16.13_1",0.185261961441072
"105PS0231_8.29.13_1",0.16414770010569
"105PS0276_9.1.09_1",0.112453398545842
"105PS0276_9.22.09_1",0.180265218579259
"105PS0540_8.5.10_1",0.195666767748951
"105PS1148_9.18.12_1",0.191758656240492
"105PS1404_8.28.13_1",0.162697770152431
"105PS1404_8.28.13_2",0.162697770152431
"106FCA036_7.15.13_1",0.103657105871436
"106HLCACC_9.23.13_1",0.12075033985599
"106PS0022_9.30.08_1",0.115956821713667
"106PS0051_9.16.08_1",0.187534216260059
"106PS0051_9.16.08_2",0.187534216260059
"106PS0106_9.8.09_1",0.0481846143673654
"106PS0106_9.8.09_2",0.0481846143673654
"106PS0122_9.20.10_1",0.175448116568388
"106PS0142_7.19.10_1",0.123167330072437
"106PS0206_10.3.12_1",0.121400378989786
"106PTCAHC_9.2.08_1",0.115523456737998
"107GWCAPC_9.15.10_1",0.126141628005365
"107RWCBHW_8.3.11_1",0.191667706017472
"107RWCBHW_8.3.11_2",0.191667706017472
"108PS0197_8.16.12_1",0.0878780122400891
"110PS0114_7.21.10_1",0.15689505841688
"110SMCATH_7.27.11_1",0.161761124717019
"111CE0569_10.11.10_1",0.132880507043278
"111FCA207_7.23.13_1",0.144481622761655
"111PS0008_9.29.08_1",0.157153154131149
"111PS0008_9.9.08_1",0.160792896839286
"111PS0008_9.9.08_2",0.160792896839286
"111PS0013_8.19.08_1",0.1364882427407
"111PS0095_8.27.09_1",0.177888362175345
"111PS0095_8.27.09_2",0.177888362175345
"111PS0121_7.20.10_1",0.141151020957931
"111PS0159_7.14.11_1",0.165676284063192
"111PS0169_7.25.11_1",0.179486275853151
"111PS0169_7.25.11_2",0.179486275853151
"111PS0178_8.14.12_1",0.129817692423077
"111PS0237_9.12.13_1",0.128614288533139
"112PS0157_7.12.11_1",0.177078256623773
"113GAR011_8.22.11_1",0.183781211769732
"113GAR011_9.1.10_1",0.175438522920183
"113GAR015_8.23.11_1",0.187733942715552
"113GAR015_8.31.10_1",0.187329649636561
"113GAR015_9.9.13_1",0.171546044572336
"113GAR023_7.22.14_1",0.185683233240367
"113GAR023_8.5.13_1",0.191166998497533
"113GAR030_8.26.09_1",0.188341196814267
"113GAR030_8.26.09_2",0.188341196814267
"113GAR030_8.28.12_1",0.189816691287101
"113GAR042_9.10.13_1",0.170271402035623
"113GAR062_6.30.09_1",0.169273100264641
"113GAR062_8.27.12_1",0.189378818374447
"113GAR087_6.29.10_1",0.159602177854804
"113GAR087_8.6.13_1",0.189795534738267
"113GAR087_9.11.12_1",0.177628963043032
"113GAR087_9.11.12_2",0.177628963043032
"113GAR089_6.14.10_1",0.111984896412214
"113GAR089_6.20.11_1",0.105334474044002
"113GAR089_8.5.09_1",0.191166998497533
"113GAR105_6.14.10_1",0.111984896412214
"113GAR105_6.20.11_1",0.105334474044002
"113GAR105_8.4.09_1",0.189749371354322
"113GAR112_6.15.10_1",0.111156154542877
"113GAR112_7.22.14_1",0.183463005788355
"113GAR112_8.22.11_1",0.182171811478648
"113GAR112_8.4.09_1",0.187636574628249
"113GAR112_8.4.09_2",0.187636574628249
"113GAR112_8.7.13_1",0.187225122562299
"113GAR118_7.26.10_1",0.184696970607639
"113GAR118_9.10.12_1",0.171937662313774
"113GAR178_6.21.11_1",0.11940985684863
"113GAR178_7.23.14_1",0.190958286616294
"113GAR178_8.31.10_1",0.187329649636561
"113GAR178_9.9.13_1",0.171546044572336
"113GAR178_9.9.13_2",0.171546044572336
"113GAR244_6.28.10_1",0.114206625912109
"113PS0012_9.9.08_1",0.155894567847284
"113PS0012_9.9.08_2",0.155894567847284
"113PS0076_8.2.12_1",0.186242712582716
"113PS0076_8.22.12_1",0.183595424963547
"113PS0120_9.14.10_1",0.189756164614854
"113PS0168_7.6.11_1",0.202598292688956
"113PS0216_9.3.13_1",0.128329247711009
"113PS0232_9.4.13_1",0.125571004757599
"113PS0232_9.4.13_2",0.125571004757599
"113PS0268_6.11.14_1",0.102158449579351
"114AU7778_6.21.10_1",0.106987962589318
"114FCA199_8.1.13_1",0.108434104036968
"114GV3469_7.5.11_1",0.143776269438405
"114GV5331_7.6.11_1",0.14980120855493
"114MA2364_7.6.10_1",0.154277869278661
"114MRCURX_6.24.08_1",0.114839633885503
"114PS0088_8.19.09_1",0.136518227140268
"114PS0209_6.10.13_1",0.0860899114311367
"114PS0229_6.4.13_1",0.0706162660474473
"114WER118_8.20.08_1",0.130772798898631
"115SALG01_6.30.10_1",0.117764235344847
"115SC6093_7.7.11_1",0.146194923770993
"115SC6093_7.7.11_2",0.146194923770993
"201LAG190_10.6.08_1",0.181681409913706
"201LAG380_7.14.09_1",0.190476640504911
"201RDW080_4.29.09_1",0.0815153456495583
"201RDW080_5.7.08_1",0.0816408132918539
"201RDW080_6.2.10_1",0.0905716463553609
"201RDW080_6.23.08_1",0.129444702183799
"201RDW080_6.3.09_1",0.0993617183695561
"201RDW080_6.3.09_2",0.0993617183695561
"201RDW080_8.11.09_1",0.159849183494951
"201RDW080_8.12.08_1",0.161574882838413
"202LAH950_6.13.12_1",0.120800721822219
"202MIC150_5.7.14_1",0.0718655368175255
"202PES162_4.27.09_1",0.058996964544526
"202PES162_5.1.08_1",0.0686341839766891
"202PES162_6.16.09_1",0.103589260048849
"202PES162_6.18.08_1",0.10407781790431
"202PES162_6.7.10_1",0.111202981140595
"202PES162_8.17.09_1",0.168880167995731
"202PES162_9.10.08_1",0.152948062026927
"202PES162_9.10.08_2",0.152948062026927
"202PS0246_6.5.13_1",0.0918927065433415
"202R00248_5.23.13_1",0.0912832964701332
"202R00248_5.23.13_2",0.0912832964701332
"202TUN600_5.12.14_1",0.0853089021475207
"203R00983_6.6.13_1",0.133062006426489
"204ALA320_6.17.13_1",0.11778945980133
"204ALA382_6.11.13_1",0.106731204808841
"204ALA396_6.24.13_1",0.119569741773837
"204ALA410_5.8.13_1",0.0781161642138578
"204ALA525_5.22.12_1",0.0853558714554662
"204IND200_5.20.08_1",0.0981167257216339
"204IND200_5.20.08_2",0.0981167257216339
"204IND200_6.16.08_1",0.11778945980133
"204R00590_5.8.13_1",0.0779872171215977
"204R00647_6.18.12_1",0.12907593299538
"204R00751_6.5.13_1",0.112997847022379
"204R00751_6.5.13_2",0.112997847022379
"204SLE150_5.9.13_1",0.0836228048701498
"205COY140_6.17.09_1",0.111626784528455
"205GCAxxx_7.15.10_1",0.187705805225586
"205GCAxxx_7.15.10_2",0.187705805225586
"205PS0234_5.22.13_1",0.0890448898053924
"205R00110_6.18.12_1",0.112742655110639
"205R00374_6.3.13_1",0.104343479403184
"205STE110_7.13.09_1",0.160748380845805
"206NAP700_6.21.12_1",0.129677620882882
"206PIN610_6.3.13_1",0.108959901363326
"206PIN825_5.22.13_1",0.108845442387608
"206R00407_4.24.14_1",0.0698645895871582
"206RIC100_5.11.09_1",0.0984555803667957
"206RIC100_5.2.08_1",0.081844272436395
"206RIC100_6.1.10_1",0.103676826395357
"206RIC100_6.17.09_1",0.123535685401091
"206RIC100_6.19.08_1",0.121066848727346
"206RIC100_8.12.09_1",0.163239627151505
"206RIC100_8.14.08_1",0.172932269614441
"206RIC100_8.2.11_1",0.16733502342291
"206SON160_9.6.11_1",0.175341558324092
"206SON300_7.14.09_1",0.176933252897835
"206SON300_8.10.11_1",0.166662345321519
"207MTD117_4.22.09_1",0.0695436458786856
"207MTD117_5.24.10_1",0.119581543645652
"207MTD117_5.6.08_1",0.0861426901465675
"207R00271_4.29.13_1",0.0807933756766848
"207SUI070_6.13.13_1",0.15162372598348
"207SUL200_5.28.14_1",0.124098760604712
"207WAL475_6.12.12_1",0.129554122014228
"207WHC634_5.29.13_1",0.122804853389077
"207WHC634_5.29.13_2",0.122804853389077
"304APS_7.6.11_1",0.208059701943606
"304PS0018_6.4.08_1",0.10873992072347
"304PS0194_6.18.12_1",0.114042361803451
"304PS0253_5.22.14_1",0.0825851147881892
"304PS0253_6.5.14_1",0.0846874818245536
"304SPC236_6.28.10_1",0.111641775457975
"305CLCSBR_6.11.08_1",0.121686941999833
"307PS0028_6.3.08_1",0.137343126173286
"307PS0044_6.8.09_1",0.131288262737266
"308BGC_5.28.14_1",0.105715771465257
"308BGC_6.14.11_1",0.128924591225275
"308BGC_8.11.11_1",0.163261834663732
