"","Predicted"
"102PS0177_8.28.12_1",0.124177616254075
"103CDCHHR_9.14.10_1",0.114554572662881
"103STCNSR_8.9.11_1",0.257420082541409
"103WER026_8.15.12_1",0.106662427631907
"103WER029_7.16.14_1",0.0906418959666919
"103WER030_8.10.11_1",0.223031049889264
"105BVCAGC_9.21.10_1",0.210328515917258
"105CE0329_7.23.14_1",0.117960059738404
"105CLCATC_8.10.10_1",0.103745843039741
"105DLCDCC_10.20.09_1",0.170966428792659
"105FCA116_7.16.13_1",0.182970846961154
"105FS0416_9.24.13_1",0.178627908620843
"105FS0425_8.10.11_1",0.144252295599858
"105FS0428_8.3.11_1",0.218242376189667
"105NWC151_6.26.13_1",0.0849872594541726
"105PS0043_9.17.08_1",0.187646023182263
"105PS0083_9.8.09_1",0.155807207220849
"105PS0090_8.7.12_1",0.135059124398563
"105PS0097_7.22.14_1",0.120235609530047
"105PS0154_8.9.11_1",0.210510995978133
"105PS0195_8.7.12_1",0.121535785379527
"105PS0259_9.17.13_1",0.184650033767915
"105PS0267_7.21.14_1",0.15662015929811
"105PS0468_9.1.09_1",0.116001982211196
"105PS0540_9.15.10_1",0.188754826675587
"105PS1492_8.6.14_1",0.0783743070914699
"105WE0598_7.24.14_1",0.0708353426650899
"105WLC135_6.26.13_1",0.0617783553565393
"105WLCABC_8.3.11_1",0.204877327150036
"106FS0040_8.30.11_1",0.22931988655957
"106PS0115_9.21.10_1",0.215302826037025
"106PS0124_8.16.10_1",0.189567840963366
"106PS0166_8.2.11_1",0.2110640714798
"106WE0505_7.21.14_1",0.0654850697386504
"106WER011_9.11.13_1",0.0881652568230842
"107PS0021_7.14.14_1",0.0827544012463786
"107WER092_8.27.12_1",0.115965820732764
"111BBRBCC_9.23.09_1",0.183779830701785
"111CBCAER_8.8.13_1",0.176450864288488
"111ERATRC_10.10.12_1",0.120014371766905
"111FS0001_7.5.11_1",0.236819105850112
"111FS0008_7.19.12_1",0.173796822055346
"111HSCAER_7.26.11_1",0.170882128938716
"111PS0060_10.7.08_1",0.146986990526799
"111PS0110_6.9.14_1",0.0725884248715587
"111PS0144_8.18.10_1",0.187638300514507
"111PS0160_7.25.11_1",0.186249720881911
"111PS0204_8.17.10_1",0.23251613012274
"111RSCAER_8.8.11_1",0.194322126072328
"111TGCAER_7.24.12_1",0.206364328668906
"111WE0816_6.12.13_1",0.126334454721856
"111WE1050_6.12.13_1",0.129689663471203
