"","Predicted"
"102PS0177_8.28.12_1",0.0492548049154893
"103CDCHHR_9.14.10_1",0.0858745191191687
"103STCNSR_8.9.11_1",0.0307254332975761
"103WER026_8.15.12_1",0.0598091266440835
"103WER029_7.16.14_1",0.0664843152419864
"103WER030_8.10.11_1",0.0260048544896973
"105BVCAGC_9.21.10_1",0.0334404585953099
"105CE0329_7.23.14_1",0.0531524965732581
"105CLCATC_8.10.10_1",0.0684821244492473
"105DLCDCC_10.20.09_1",0.0455775141233372
"105FCA116_7.16.13_1",0.0322114528632668
"105FS0416_9.24.13_1",0.0931627909312398
"105FS0425_8.10.11_1",0.0268568665699448
"105FS0428_8.3.11_1",0.0542350012291546
"105NWC151_6.26.13_1",0.0886524591987323
"105PS0043_9.17.08_1",0.08314345086179
"105PS0083_9.8.09_1",0.0250508784348058
"105PS0090_8.7.12_1",0.0529624617908109
"105PS0097_7.22.14_1",0.0123259915139078
"105PS0154_8.9.11_1",0.0788604936066501
"105PS0195_8.7.12_1",0.035654731762964
"105PS0259_9.17.13_1",0.0837159698307287
"105PS0267_7.21.14_1",0.078288614201288
"105PS0468_9.1.09_1",0.0621506516747468
"105PS0540_9.15.10_1",0.0754666485834436
"105PS1492_8.6.14_1",0.0596178842385793
"105WE0598_7.24.14_1",0.0280738129067235
"105WLC135_6.26.13_1",0.0896448553977866
"105WLCABC_8.3.11_1",0.050652746703538
"106FS0040_8.30.11_1",0.0430839696550362
"106PS0115_9.21.10_1",0.0334040003458457
"106PS0124_8.16.10_1",0.0724787042860461
"106PS0166_8.2.11_1",0.0876600567873632
"106WE0505_7.21.14_1",0.0227021163966624
"106WER011_9.11.13_1",0.0505973197834063
"107PS0021_7.14.14_1",0.0467734378561303
"107WER092_8.27.12_1",0.0879355145939404
"111BBRBCC_9.23.09_1",0.065810985555507
"111CBCAER_8.8.13_1",0.062150487886176
"111ERATRC_10.10.12_1",0.0445871119866592
"111FS0001_7.5.11_1",0.0501836445024429
"111FS0008_7.19.12_1",0.0730906026673604
