"","Predicted"
"103KLCMSR_9.14.10_1",0.0293001205532536
"105PS0193_8.29.12_1",0.0914158077035914
"105PS0660_8.3.10_1",0.0886524591987323
"105TMCACC_8.10.10_1",0.0824143215077693
"106MNCAHC_10.1.08_1",0.0413047360851717
"106WE1079_8.8.12_1",0.0490722221257701
"106WER016_10.20.09_1",0.139691080864704
"107LLM101_9.13.10_1",0.0465243811601381
"111BGCAER_6.11.14_1",0.0453716608378537
"111FS0007_7.11.11_1",0.0843323230395837
"111PAL105_7.13.11_1",0.128987202045924
"202SPE090_6.15.09_1",0.144749385826986
"205AAG075_6.12.13_1",0.110202981460917
"205COY850_5.21.12_1",0.100409377096358
"205SFC880_6.19.12_1",0.162656155981655
"206BRC020_6.27.12_1",0.14949884464729
"207SUI290_6.4.12_1",0.111663501503985
"307CMRADC_5.20.14_1",0.11977365437244
"308LSRASC_7.18.11_1",0.0952220408373365
"308MWCAH1_6.23.10_1",0.106316463991991
"308PS0156_6.19.12_1",0.127830725148663
"308ROCBBQ_6.21.12_1",0.150776649947519
"309ARCBRC_8.25.08_1",0.120313060237127
"309PS0116_6.16.11_1",0.104347275470403
"312PS0099_6.14.10_1",0.0824910741092044
"315CHCALS_6.15.10_1",0.156046657098528
"402BA0095_5.29.08_1",0.136832706718446
"402M00009_6.29.15_1",0.157248781302424
"403S00960_6.2.10_1",0.128960152472476
"403S01536_7.12.11_1",0.0857226034166399
"403WE0540_5.14.14_1",0.145672994078873
"403WE0683_5.15.13_1",0.13505695136205
"505PS0110_9.16.10_1",0.0604306136440653
"513CCNASC_7.16.14_1",0.134340453318655
"513STCAIV_6.12.14_1",0.104618292916755
"513UNCAKC_9.23.09_1",0.10660353616579
"514SSC190_9.11.14_1",0.0374651178893049
"517FCA046_8.14.13_1",0.0511165962803991
"518BTCASC_6.12.13_1",0.0881302270784106
"518FCA075_8.12.13_1",0.0825753742232016
"518SPC134_6.18.13_1",0.0866903389783601
"522GSCBSC_9.24.09_1",0.109444627583748
"522PS0504_6.11.13_1",0.122333799605315
"526PNCAMF_6.25.13_1",0.05565636725899
"526PS1420_6.25.13_1",0.0919766310157622
"534MLC108_9.14.11_1",0.0687119953192432
"536HLCBFM_6.18.13_1",0.0740312929706726
"537TYCAML_7.16.08_1",0.031597677522291
"540SED003_8.30.11_1",0.0384394232721592
"552DKC268_6.23.14_1",0.035038606077942
"552MFCAKR_6.11.08_1",0.0678566717386314
"553KRNAYC_6.17.14_1",0.0925698689870204
"554CLCALK_8.23.11_1",0.0527587884014901
"603DDM005_9.13.11_1",0.0813165432343921
"603FCA145_8.21.13_1",0.0316319469816889
"603PS0008_7.30.08_1",0.0165439287950345
"603PS0075_8.15.12_1",0.091502394323189
"603PS0109_7.29.08_1",0.0778205544622477
"603PS0557_8.18.10_1",0.0750657518924835
"603SPCBWC_7.22.08_1",0.0595202831956268
"631DEP001_8.28.12_1",0.0786603953466075
"631PS0033_8.30.10_1",0.0395343079902548
"632ELD001_9.8.11_1",0.0374900327787076
"634CAT055_10.4.11_1",0.0262874970716513
"634GRF001_10.3.11_1",0.0881491262840614
"634HHCATC_10.4.11_1",0.0474962670905689
"634PS0035_9.1.10_1",0.0263343512762884
"634PS0062_10.12.11_1",0.0420009913155547
"634WSN001_10.4.11_1",0.0990445055092027
"636SAG001_7.12.10_1",0.0782279594625875
"639PS1279_6.11.13_1",0.0889094071764081
"641OWC157_7.24.13_1",0.0772369098891323
"722NP7IDC_4.16.14_1",0.0782940602711431
"801DRC025_6.25.14_1",0.0510556032647269
"801S03488_5.7.14_1",0.0961558338977192
"801WE0674_5.14.13_1",0.0517735048593318
"801WE1008_5.14.13_1",0.0701829870069128
"801WE1132_8.19.09_1",0.0379600921490773
"901ATCAAS_6.5.08_1",0.123955289159785
"901CSCADC_5.26.11_1",0.105580020331666
"901S06969_5.31.12_1",0.134209525928452
"903WE0798_4.8.15_1",0.0949525001929328
"905BCC_6.11.14_1",0.163628651208435
"905S02561_5.25.11_1",0.126459361211562
"909JQCASR_6.1.11_1",0.112772978260683
"911S03354_5.5.09_1",0.119051395537945
"911TJIND2_5.8.08_1",0.092713603748885
"911TJLCC2_4.7.15_1",0.0666293404973091
"SCFC1_6.12.08_1",0.120851027193032
"SCSS1_6.17.08_1",0.151395732117619
"SMAD1_11.5.08_1",0.125362897817406
"SMC00135_6.7.10_1",0.0433634030815276
"SMC01979_7.14.11_1",0.130025125130727
"SMC02139_7.17.12_1",0.164456081985734
"SMC04204_7.11.12_1",0.124748539722955
"SMC04383_5.19.14_1",0.086981302682639
"SMC06467_6.28.10_1",0.128480998581723
"SMC19809_6.25.13_1",0.0901978784448477
