"","Predicted"
"102PS0139_8.9.10_1",3.60236346566186
"103FCA168_7.24.13_1",2.98506106527901
"103PS0217_9.10.13_1",3.09858299365029
"103RDCBCC_7.21.11_1",2.97483552811067
"105PS0028_8.12.08_1",3.64750336466619
"105PS0028_8.26.08_1",3.64750336466619
"105PS0067_8.24.09_1",3.5930453825693
"105PS0067_8.24.09_2",3.5930453825693
"105PS0067_9.15.09_1",3.5930453825693
"105PS0069_8.18.09_1",2.86139471920909
"105PS0092_8.11.08_1",3.57111681365249
"105PS0107_9.14.09_1",3.57911199947688
"105PS0129_8.11.10_1",3.17192795078736
"105PS0129_8.11.10_2",3.17192795078736
"105PS0149_8.29.12_1",2.7542974452837
"105PS0211_8.20.13_1",3.60996401076572
"105PS0211_9.16.13_1",3.60996401076572
"105PS0231_8.29.13_1",3.49762600542045
"105PS0276_9.1.09_1",4.09332670382938
"105PS0276_9.22.09_1",4.09332670382938
"105PS0540_8.5.10_1",3.51451638740586
"105PS1148_9.18.12_1",3.71822253696634
"105PS1404_8.28.13_1",3.62865689912043
"105PS1404_8.28.13_2",3.62865689912043
"106FCA036_7.15.13_1",3.61887410939716
"106HLCACC_9.23.13_1",3.13187451953529
"106PS0022_9.30.08_1",2.81765230871751
"106PS0051_9.16.08_1",3.68086641727117
"106PS0051_9.16.08_2",3.68086641727117
"106PS0106_9.8.09_1",3.50894617269925
"106PS0106_9.8.09_2",3.50894617269925
"106PS0122_9.20.10_1",3.19563869108072
"106PS0142_7.19.10_1",3.11024319942671
"106PS0206_10.3.12_1",3.65325133901347
"106PTCAHC_9.2.08_1",3.92992395401158
"107GWCAPC_9.15.10_1",3.19983946360447
"107RWCBHW_8.3.11_1",3.27624914653015
"107RWCBHW_8.3.11_2",3.27624914653015
"108PS0197_8.16.12_1",3.25937022887731
"110PS0114_7.21.10_1",3.23457112370326
"110SMCATH_7.27.11_1",3.22065212539296
"111CE0569_10.11.10_1",3.83536831457162
"111FCA207_7.23.13_1",3.55846896150301
"111PS0008_9.29.08_1",3.70973763299987
"111PS0008_9.9.08_1",3.70973763299987
"111PS0008_9.9.08_2",3.70973763299987
"111PS0013_8.19.08_1",3.46078502860352
"111PS0095_8.27.09_1",3.36261215308418
"111PS0095_8.27.09_2",3.36261215308418
"111PS0121_7.20.10_1",3.8030069011692
"111PS0159_7.14.11_1",3.01694200586818
"111PS0169_7.25.11_1",3.94544900133763
"111PS0169_7.25.11_2",3.94544900133763
"111PS0178_8.14.12_1",3.23006625236037
"111PS0237_9.12.13_1",3.075943887366
"112PS0157_7.12.11_1",3.30779144196202
"113GAR011_8.22.11_1",3.50786577687788
"113GAR011_9.1.10_1",3.50786577687788
"113GAR015_8.23.11_1",3.50346687419304
"113GAR015_8.31.10_1",3.50346687419304
"113GAR015_9.9.13_1",3.50346687419304
"113GAR023_7.22.14_1",3.50880880054525
"113GAR023_8.5.13_1",3.50880880054525
"113GAR030_8.26.09_1",3.42230592904498
"113GAR030_8.26.09_2",3.42230592904498
"113GAR030_8.28.12_1",3.42230592904498
"113GAR042_9.10.13_1",3.48417196403848
"113GAR062_6.30.09_1",3.48156340351505
"113GAR062_8.27.12_1",3.48156340351505
"113GAR087_6.29.10_1",3.32577439595714
"113GAR087_8.6.13_1",3.32577439595714
"113GAR087_9.11.12_1",3.32577439595714
"113GAR087_9.11.12_2",3.32577439595714
"113GAR089_6.14.10_1",3.45104443884749
"113GAR089_6.20.11_1",3.45104443884749
"113GAR089_8.5.09_1",3.45104443884749
"113GAR105_6.14.10_1",3.32277263441678
"113GAR105_6.20.11_1",3.32277263441678
"113GAR105_8.4.09_1",3.32277263441678
"113GAR112_6.15.10_1",3.46857800311124
"113GAR112_7.22.14_1",3.46857800311124
"113GAR112_8.22.11_1",3.46857800311124
"113GAR112_8.4.09_1",3.46857800311124
"113GAR112_8.4.09_2",3.46857800311124
"113GAR112_8.7.13_1",3.46857800311124
"113GAR118_7.26.10_1",3.48591864124622
"113GAR118_9.10.12_1",3.48591864124622
"113GAR178_6.21.11_1",3.65762763423199
"113GAR178_7.23.14_1",3.65762763423199
"113GAR178_8.31.10_1",3.65762763423199
"113GAR178_9.9.13_1",3.65762763423199
"113GAR178_9.9.13_2",3.65762763423199
"113GAR244_6.28.10_1",3.82532067156032
"113PS0012_9.9.08_1",3.73502895560086
"113PS0012_9.9.08_2",3.73502895560086
"113PS0076_8.2.12_1",3.2266133332028
"113PS0076_8.22.12_1",3.2266133332028
"113PS0120_9.14.10_1",3.69591048852643
"113PS0168_7.6.11_1",3.57037150766568
"113PS0216_9.3.13_1",3.66282395940763
"113PS0232_9.4.13_1",3.78917704986849
"113PS0232_9.4.13_2",3.78917704986849
"113PS0268_6.11.14_1",3.59612938942079
"114AU7778_6.21.10_1",3.43205912629331
"114FCA199_8.1.13_1",3.06937962226679
"114GV3469_7.5.11_1",3.29981842659869
"114GV5331_7.6.11_1",3.07779829328794
"114MA2364_7.6.10_1",3.32678855898237
"114MRCURX_6.24.08_1",3.55548795448773
"114PS0088_8.19.09_1",3.65259169966482
"114PS0209_6.10.13_1",3.54208299952357
"114PS0229_6.4.13_1",3.25371964901004
"114WER118_8.20.08_1",3.5140643544192
"115SALG01_6.30.10_1",3.11935700167664
"115SC6093_7.7.11_1",3.02748714655593
"115SC6093_7.7.11_2",3.02748714655593
"201LAG190_10.6.08_1",3.7994665695364
"201LAG380_7.14.09_1",2.94317204575488
"201RDW080_4.29.09_1",3.63064163287676
"201RDW080_5.7.08_1",3.63064163287676
"201RDW080_6.2.10_1",3.63064163287676
"201RDW080_6.23.08_1",3.63064163287676
"201RDW080_6.3.09_1",3.63064163287676
"201RDW080_6.3.09_2",3.63064163287676
"201RDW080_8.11.09_1",3.63064163287676
"201RDW080_8.12.08_1",3.63064163287676
"202LAH950_6.13.12_1",3.55944049364627
"202MIC150_5.7.14_1",3.41123911690757
"202PES162_4.27.09_1",3.42226194842786
"202PES162_5.1.08_1",3.42226194842786
"202PES162_6.16.09_1",3.42226194842786
"202PES162_6.18.08_1",3.42226194842786
"202PES162_6.7.10_1",3.42226194842786
"202PES162_8.17.09_1",3.42226194842786
"202PES162_9.10.08_1",3.42226194842786
"202PES162_9.10.08_2",3.42226194842786
"202PS0246_6.5.13_1",3.38506027728671
"202R00248_5.23.13_1",3.49623496969816
"202R00248_5.23.13_2",3.49623496969816
"202TUN600_5.12.14_1",3.29394394716444
"203R00983_6.6.13_1",3.70329127098277
"204ALA320_6.17.13_1",3.92262201209749
"204ALA382_6.11.13_1",3.72335104851141
"204ALA396_6.24.13_1",3.71977409427553
"204ALA410_5.8.13_1",3.71921679708299
"204ALA525_5.22.12_1",3.77328407828844
"204IND200_5.20.08_1",3.50945726931304
"204IND200_5.20.08_2",3.50945726931304
"204IND200_6.16.08_1",3.50945726931304
"204R00590_5.8.13_1",4.17366793893807
"204R00647_6.18.12_1",3.51786234984602
"204R00751_6.5.13_1",3.4962266868934
"204R00751_6.5.13_2",3.4962266868934
"204SLE150_5.9.13_1",3.44489976662124
"205COY140_6.17.09_1",3.62327966293007
"205GCAxxx_7.15.10_1",3.3723705838036
"205GCAxxx_7.15.10_2",3.3723705838036
"205PS0234_5.22.13_1",3.60361792094103
"205R00110_6.18.12_1",3.59618780380875
"205R00374_6.3.13_1",3.34505105990763
"205STE110_7.13.09_1",3.53271219362737
"206NAP700_6.21.12_1",3.55915775612749
"206PIN610_6.3.13_1",3.63356322531968
"206PIN825_5.22.13_1",3.6972290568683
"206R00407_4.24.14_1",4.08846263648492
"206RIC100_5.11.09_1",3.70336079426454
"206RIC100_5.2.08_1",3.70336079426454
"206RIC100_6.1.10_1",3.70336079426454
"206RIC100_6.17.09_1",3.70336079426454
"206RIC100_6.19.08_1",3.70336079426454
"206RIC100_8.12.09_1",3.70336079426454
"206RIC100_8.14.08_1",3.70336079426454
"206RIC100_8.2.11_1",3.70336079426454
"206SON160_9.6.11_1",3.78773528253646
"206SON300_7.14.09_1",3.69188311136756
"206SON300_8.10.11_1",3.69188311136756
"207MTD117_4.22.09_1",3.78449080184863
"207MTD117_5.24.10_1",3.78449080184863
"207MTD117_5.6.08_1",3.78449080184863
"207R00271_4.29.13_1",4.02771404330145
"207SUI070_6.13.13_1",3.75573257074583
"207SUL200_5.28.14_1",3.75512894222667
"207WAL475_6.12.12_1",3.43350508803512
"207WHC634_5.29.13_1",3.39591604158934
"207WHC634_5.29.13_2",3.39591604158934
"304APS_7.6.11_1",3.47054588549984
"304PS0018_6.4.08_1",3.81435624320522
"304PS0194_6.18.12_1",3.5664833053889
"304PS0253_5.22.14_1",3.49425826182295
"304PS0253_6.5.14_1",3.49425826182295
"304SPC236_6.28.10_1",3.75530442495881
"305CLCSBR_6.11.08_1",3.95944998135185
"307PS0028_6.3.08_1",2.95539446967757
"307PS0044_6.8.09_1",3.7581506464743
"308BGC_5.28.14_1",3.93835121690832
"308BGC_6.14.11_1",3.93835121690832
"308BGC_8.11.11_1",3.93835121690832
"308LIM_6.4.14_1",3.82395491134289
"308LIM_6.4.14_2",3.82395491134289
"308PS0204_5.21.13_1",3.60652526006558
"309ANT_5.24.12_1",4.08187831604737
"309CLCBVC_7.15.08_1",3.68678600717437
"309LAS1MI_6.13.12_1",3.81121270348036
"309LOR_5.29.12_1",3.9165435560513
"309PS0040_6.3.08_1",4.00758430356345
"309PS0043_6.10.09_1",3.75911606437261
"309PS0043_7.8.09_1",3.75911606437261
"309SAP_5.23.12_1",3.55529329739542
"309SARANF_8.26.08_1",2.90429782867473
"309SDCMCC_7.14.08_1",3.76920036865012
"309SEC_7.2.12_1",3.59677939508732
"309SED071_4.3.12_1",3.46224813922259
"309SED071_5.3.12_1",3.46224813922259
"309SED071_6.13.12_1",3.46224813922259
"309SED071_7.24.12_1",3.46224813922259
"309SED071_8.30.12_1",3.46224813922259
"310AGS_5.29.14_1",3.71277109177134
"310OLD_6.15.10_1",3.79184243939502
"310SSU_6.15.11_1",3.67170541925806
"310SSU_8.11.11_1",3.67170541925806
"312CAV_4.19.13_1",3.95306439141924
"312SIV_5.3.13_1",3.77381421983594
"313SAB_5.29.14_1",3.87299760092015
"314WE1102_6.12.12_1",3.96511772234693
"315ARH101_6.14.10_1",3.89679331531954
"402BA0031_5.28.08_1",3.82116960531842
"402BA0079_5.28.08_1",3.83296824980642
"402BA0143_5.21.08_1",3.77592431153658
"402BA0335_5.27.08_1",3.96764619907969
"402BA0335_5.27.08_2",3.96764619907969
"403BA0027_5.20.08_1",3.89859755501071
"403BA0027_6.18.14_1",3.89859755501071
"403BA0136_5.13.08_1",3.82942495924581
"403BA0136_6.17.14_1",3.82942495924581
"403BA0191_5.14.08_1",3.61938311492488
"403FCA022_5.29.13_1",3.92885541426608
"403M01505_6.29.15_1",3.94734023458872
"403M01506_6.17.15_1",3.8240456771124
"403M05757_6.29.15_1",3.92946039533745
"403M05771_4.30.15_1",3.72890379763868
"403PRCAGH_6.2.11_1",3.91607038507325
"403S00640_6.11.09_1",3.89570903958545
"403S00640_6.11.09_2",3.89570903958545
"403S00772_5.20.09_1",3.94734023458872
"403S00831_6.10.10_1",3.99457255676109
"403S01136_6.13.11_1",4.00741834520438
"403S01163_6.8.09_1",3.64461159498277
"403S01195_6.10.09_1",3.87510112327333
"403S01272_6.9.09_1",3.91851935355432
"403S01707_6.7.10_1",3.63539353504346
"403S01728_7.13.11_1",4.09089515699103
"403S02363_6.16.11_1",3.73099344746117
"403S02764_6.14.11_1",3.84949973044713
"403S04600_6.8.10_1",3.91711501848306
"403S05291_6.7.10_1",3.8891696411952
"403S06139_6.27.12_1",3.86698860623181
"403S06283_6.13.12_1",3.70026678575205
"403S06660_6.14.12_1",3.65015027136523
"403S06660_6.14.12_2",3.65015027136523
"403S06904_6.9.10_1",4.03583034246178
"403S07024_6.13.12_1",3.92576430028681
"403S07227_6.27.12_1",3.69000777218454
"403S15608_6.8.10_1",3.91674014721607
"403S16332_6.26.13_1",3.92884424026766
"403S16493_6.24.13_1",3.60515933937555
"403S16978_6.26.13_1",4.03355842355705
"403S18093_6.24.13_1",3.63875265399367
"403S18093_6.24.13_2",3.63875265399367
"404ARRSEQ_6.6.12_1",3.92831515925772
"404BA0104_6.18.08_1",3.75443249429142
"404BA0526_6.4.08_1",4.0010712570692
"404BA0616_6.3.08_1",3.90711236982579
"404BA0852_6.3.08_1",4.04566586197612
"404BA0964_6.4.08_1",3.87033337829977
"404BA1128_6.19.08_1",4.04427179618564
"404BA1128_6.3.14_1",4.04427179618564
"404BA1144_6.10.08_1",3.5936554057372
"404BA1166_6.10.08_1",3.87769772495125
"404BA1166_6.4.09_1",3.87769772495125
"404S01128_6.23.10_1",4.04427179618564
"404S06456_5.14.09_1",3.99938426402237
"404S08846_6.22.10_1",3.96387385115257
"404S11406_5.11.09_1",3.89201872912613
"404S16168_6.23.10_1",3.89033584334651
"404S17266_5.19.09_1",4.04182040259606
"404S23297_6.19.13_1",3.8967685537428
"404S25298_6.20.12_1",3.88014717395971
"404S32468_6.26.12_1",3.85865422906848
"404S34230_6.19.13_1",4.28547345180874
"404S35418_6.25.12_1",3.85175697348306
"404S35418_6.25.12_2",3.85175697348306
"404S45622_6.3.13_1",4.27619595453388
"404S45622_6.3.13_2",4.27619595453388
"404S45745_6.18.13_1",3.75851965902738
"404S48200_6.18.13_1",3.77112556306387
"405BH2Axx_6.16.10_1",3.53734364090666
"405BH2Axx_6.16.10_2",3.53734364090666
"405BH2Axx_6.16.10_3",3.53734364090666
"405BH3Axx_6.17.10_1",3.49886447204479
"405BH3Axx_6.17.10_2",3.49886447204479
"405BH3Axx_6.17.10_3",3.49886447204479
"405BH3Cxx_6.17.10_1",3.98033207047694
"405CE0280_7.6.15_1",3.56203396964848
"405PS0030_5.21.08_1",3.40303819914142
"405PS0030_7.8.15_1",3.40303819914142
"405PS0036_5.28.08_1",3.46402301955878
