"","Predicted"
"102PS0177_8.28.12_1",3.21042850746731
"103CDCHHR_9.14.10_1",3.01578673162723
"103STCNSR_8.9.11_1",2.5881628684167
"103WER026_8.15.12_1",3.39983323405721
"103WER029_7.16.14_1",2.95278906366188
"103WER030_8.10.11_1",2.63484676966483
"105BVCAGC_9.21.10_1",3.0603041048609
"105CE0329_7.23.14_1",3.13331154245052
"105CLCATC_8.10.10_1",3.24252908015068
"105DLCDCC_10.20.09_1",3.02072109562898
"105FCA116_7.16.13_1",2.91234801925064
"105FS0416_9.24.13_1",3.41514801689729
"105FS0425_8.10.11_1",3.45760967766213
"105FS0428_8.3.11_1",3.07282732353193
"105NWC151_6.26.13_1",4.11096196096035
"105PS0043_9.17.08_1",3.36792219687949
"105PS0083_9.8.09_1",3.60879508266011
"105PS0090_8.7.12_1",3.40841676542493
"105PS0097_7.22.14_1",3.06722061830699
"105PS0154_8.9.11_1",3.58584964673801
"105PS0195_8.7.12_1",3.42055862768282
"105PS0259_9.17.13_1",3.40032950821703
"105PS0267_7.21.14_1",3.54372203118072
"105PS0468_9.1.09_1",4.16786563272106
"105PS0540_9.15.10_1",3.51451638740586
"105PS1492_8.6.14_1",4.29895648276617
"105WE0598_7.24.14_1",2.81700223744527
"105WLC135_6.26.13_1",4.25447706857228
"105WLCABC_8.3.11_1",3.10682924613691
"106FS0040_8.30.11_1",3.0651280857782
"106PS0115_9.21.10_1",3.35152738796117
"106PS0124_8.16.10_1",3.36766519545208
"106PS0166_8.2.11_1",3.28918197077156
"106WE0505_7.21.14_1",3.4018871756549
"106WER011_9.11.13_1",3.45264286049826
"107PS0021_7.14.14_1",2.98213843326092
"107WER092_8.27.12_1",3.20314821545826
"111BBRBCC_9.23.09_1",3.35572307636112
"111CBCAER_8.8.13_1",3.6649529750974
"111ERATRC_10.10.12_1",3.60124188016184
"111FS0001_7.5.11_1",3.34300034225427
"111FS0008_7.19.12_1",3.70535768095662
"111HSCAER_7.26.11_1",3.38555887162591
"111PS0060_10.7.08_1",3.28162949906726
"111PS0110_6.9.14_1",3.24918938124567
"111PS0144_8.18.10_1",3.47894673322644
"111PS0160_7.25.11_1",3.16212016530865
"111PS0204_8.17.10_1",3.19003278133078
"111RSCAER_8.8.11_1",3.12114064555534
"111TGCAER_7.24.12_1",3.15219503098952
"111WE0816_6.12.13_1",3.49093173939099
"111WE1050_6.12.13_1",3.82326306367135
"111WE1071_7.26.12_1",3.82326306367135
"111WER003_6.10.14_1",3.02179410991626
"111WER008_7.23.12_1",3.33128996680128
"111WER159_10.19.09_1",3.11040174521648
"113RG8046_8.19.10_1",3.70324501437727
"114CE0131_7.31.12_1",4.02148233021187
"114PS0145_6.20.11_1",3.801379961405
"114WE0614_7.9.12_1",3.89376099020998
"115EBAG01_7.1.10_1",3.56036592539294
"201AHO350_6.20.12_1",3.11895086576869
"201CHE300_6.18.12_1",3.45568388694566
"201LAG335_7.15.09_1",2.96085070247306
"201MRS020_9.13.10_1",3.53525422431369
"202BUT030_6.29.10_1",3.56200308531644
"202BUT040_6.4.14_1",3.34637621268015
"202BUT050_6.16.09_1",2.74630406837463
"202BUT480_6.25.12_1",3.30134589842922
"202BUT600_6.26.12_1",3.30083616887725
"202DRY010_6.5.13_1",3.64711857887753
"202PES168_6.6.13_1",3.12281081578848
"202R00024_6.6.12_1",3.40314776024212
"202R00280_5.22.13_1",3.34584548240681
"204AHOACR_6.2.14_1",3.43228797785534
"204ALA500_6.10.13_1",3.76343819797012
"204ARH090_6.2.14_1",4.14866879500372
"204IND200_5.25.10_1",3.50945726931304
"204R00189_5.6.13_1",3.84006895574883
"204SIN300_5.15.12_1",3.46327251221505
"204VAL400_5.19.14_1",3.65452699724373
"205AAG375_5.14.14_1",3.8479786957425
"205AAG400_6.5.12_1",3.47119818699744
"205COY585_5.28.13_1",4.22566192377296
"205COY610_6.3.10_1",3.72216250518764
"205COY615_6.3.14_1",4.32857600783214
"205COY853_5.29.14_1",4.10617693561496
"205COY900_5.16.12_1",4.01941829728481
"205COY930_5.7.13_1",4.06147073104484
"205CYCAHH_6.10.08_1",3.77752896546442
"205CYCBBC_6.28.10_1",3.74614127959513
"205LGA700_5.23.12_1",3.18171021770113
"205R00021_5.16.12_1",3.7511304479311
"205R00182_5.7.13_1",3.65620847808334
"205WUN450_6.11.12_1",3.59194507841278
"205WUN550_5.6.13_1",3.39907761231473
"206HCT020_5.29.12_1",3.32168586039783
"206RCCBDC_7.20.10_1",3.30084352269087
"206TUL120_6.13.11_1",3.53115116205739
"207GVC800_5.23.13_1",3.44577977789431
"207SUI800_5.5.14_1",3.9264953637278
"304WDCAH1_6.29.10_1",3.37462675068839
"305LGCACR_7.16.08_1",3.8942113447603
"305LGCBRC_6.30.10_1",3.48179872772458
"305SSCAUC_6.29.10_1",3.06323520982741
"305UVCASC_6.29.10_1",3.18043075791562
"307CE0094_6.12.12_1",3.56034557163173
"307SCCARR_6.21.10_1",3.49779775500609
"308BSU_7.13.10_1",3.4257356113703
"308LILPAL_6.20.12_1",3.77579220192894
"308PWCAH1_6.22.10_1",3.42940169920953
"308SAM_6.23.10_1",3.41101615885059
"308SANWIL_6.12.12_1",3.56638506055566
"308SBCAH1_6.21.10_1",3.53720461197293
"309ARSARC_6.23.10_1",3.45337235226954
"309CAW126_5.21.14_1",3.68491845396468
"309NAF_5.24.12_1",3.63820145737424
"309WLCATC_6.22.10_1",3.35593599764233
"310COO_6.24.10_1",3.44639137598853
"310LPCBPC_6.9.09_1",3.53748534864275
"312DAVDAV_6.7.12_1",3.82979065523156
"312MZCDBC_5.13.14_1",3.82804544657458
"312RYCALR_6.16.10_1",3.53477837511657
"402BA0287_6.9.08_1",3.81378330541586
"402M00005_6.11.15_1",3.9054727477826
"402MTCUNF_6.5.12_1",3.84705816767876
"402PS0048_5.21.08_1",3.76701512039403
"403BA0015_5.19.08_1",3.91780502782972
"403BA0064_6.18.14_1",3.88949373353797
"403BA0140_5.21.08_1",3.6899050537254
"403BA0171_5.19.08_1",3.77376006665347
"403LNCASC_6.15.10_1",3.44320676183852
"403S00875_6.24.10_1",3.87845207389012
"403S01883_6.21.10_1",3.41546675331817
"403S03643_6.24.10_1",4.02774220570399
"403S06315_6.27.12_1",3.91733665778791
"403STC064_6.8.11_1",3.52846048969806
"403STC086_6.21.11_1",3.9117849368596
"403WE0501_5.14.13_1",4.11454916719112
"403WE1027_5.14.14_1",3.0929961908959
"405BRCAMS_6.7.11_1",3.55254467544314
"405BRCASG_5.7.14_1",3.47358405960091
"405BRCSGR_5.28.08_1",3.40029909627273
"405SGRAAG_5.28.08_1",3.08617847757414
"405WER318_8.18.09_1",3.52409506210268
"504DCFRxx_7.27.10_1",3.81382357765704
"504PS0227_8.12.09_1",3.90026225644769
"504WE0527_7.2.13_1",3.93587630294454
"505BMCMCR_8.4.10_1",3.17454388814508
"505LBCAMR_8.7.13_1",3.03787375405203
"505PS0174_9.27.11_1",3.16722299825095
"506PS0062_9.15.08_1",3.13896658910701
"507MZCAML_7.17.12_1",3.40465818889747
"509ACNFPP_9.25.14_1",3.25171646162464
"509ACSFPP_7.16.08_1",3.4616330543866
"509ATCINC_7.14.08_1",3.68185071478012
"509BSCADC_8.31.11_1",3.39364660847463
"509CBCADC_8.24.10_1",3.34861761928158
"509CTCADC_7.10.12_1",3.5516173278152
"509CWCPLR_7.7.08_1",3.6859225689419
"509FCA054_8.27.13_1",3.88965295456255
"509ICPPCX_9.10.08_1",3.71346261444443
"509MLC145_8.6.13_1",3.47085986274525
"509PCDTWR_9.3.08_1",3.59265043425195
"509PMC197_7.2.14_1",3.37681753053659
"509PS0085_9.7.11_1",3.60530263383527
"509PS0170_7.26.10_1",3.40362943140235
"509PS0234_8.15.11_1",3.61934073098543
"509PS0334_9.12.12_1",3.97188474943922
"513BTCACC_9.10.08_1",3.73792997592867
"513PS0008_9.1.10_1",3.63943734953249
"513PS0200_7.30.12_1",3.68537499289669
"514BMCARC_9.27.11_1",2.91553937761265
"514BRUUPX_10.9.08_1",3.05716683284507
"514ICEUPx_8.13.14_1",3.63523924505642
"514LNCASC_8.30.11_1",3.49084599476813
"514PCASMR_10.29.14_1",3.63167281728495
"514PS0131_7.28.14_1",3.63608616274205
"514SBCAMR_8.29.11_1",3.62630864899238
"514SCCAAR_7.24.08_1",3.51321363522772
"514SFA222_7.28.14_1",3.19356276296922
"517LCCAYB_8.12.08_1",3.63677119178836
"517PS0054_7.28.10_1",3.36204989585495
"517PS0074_9.20.11_1",3.36366212631219
"518CHCANF_7.12.12_1",3.65078989229723
"518CPCRCR_8.20.14_1",3.120393545805
"518GZCUPx_6.30.14_1",3.19100763021556
"518KNCAWC_8.15.11_1",3.18042593277787
"518MLC181_7.15.14_1",3.23256020753499
"518PS0033_6.29.09_1",3.51499734118601
"518PS0073_8.16.11_1",3.56255744962042
"518PS0093_9.24.12_1",3.68946265756338
"518PS0113_7.9.12_1",3.49751357142828
"518RCNAPC_8.18.14_1",3.2460819978732
"518SDCAHR_6.12.13_1",3.88869493726889
"518SED086_8.17.11_1",3.25836851921418
"518SNCABC_9.26.12_1",3.78122847487013
"518WE0521_6.19.13_1",3.53411279996
"518WLCBWL_8.5.13_1",3.76691745605419
"518YLCAFR_8.17.11_1",3.39205963566271
"522CE0027_6.9.14_1",3.57299747757112
"522MFSCRB_9.18.08_1",3.81810347322939
"523PS0172_8.10.11_1",3.79520259896684
"523TMCATG_10.5.09_1",3.70534499628684
"524PS0342_7.18.12_1",3.82588263136987
"524PS0650_7.17.14_1",3.71558466715415
"526PS0072_8.7.14_1",2.85497245075329
"526PS0076_8.26.08_1",3.68013756156585
"526PS0396_9.1.09_1",3.75966109630269
"526PS1100_8.21.12_1",3.65103904066705
"526PS1144_8.22.12_1",3.98554255368933
"526PSCBLK_8.21.12_1",3.72460696733763
"526WER123_8.21.12_1",3.68035679136341
"526WTCACT_6.24.13_1",4.13078754320587
"527PS1156_8.21.12_1",3.58635869842542
"532CPC238_7.30.14_1",3.13197625525394
"532CRM206_7.10.14_1",3.60072082460818
"532PTCAER_8.19.13_1",3.25459324390071
"534ANCACF_8.31.10_1",3.31520024628637
"534CFSAIM_7.27.09_1",3.65596277166415
"534DCC167_8.14.13_1",3.87076522870729
"534PS0070_8.30.10_1",3.54261093288159
"534RSCAGG_9.19.11_1",3.52852383050386
"534SPC227_7.9.14_1",3.69114446338845
"534SRCFFC_8.29.12_1",3.7060227809205
"534WER219_8.29.12_1",3.52032893566794
"536CLR247_7.8.14_1",3.08563926792406
"536LLCACR_9.22.11_1",3.07214284942484
"536PS0107_7.17.12_1",3.58068857161881
"536SED006_9.20.11_1",3.49780368797729
"536SED108_9.21.11_1",3.52939863933703
"536STR127_6.17.13_1",3.9305921652428
"536TRC119_6.18.13_1",3.94598002249247
"537ADCH41_9.12.11_1",3.82125403339673
"537BLCABG_9.15.11_1",3.58294787956361
"537BSCAWR_7.15.08_1",3.82841255562618
"537GZCAMR_8.7.08_1",3.79396544991031
"539NDCACC_10.15.09_1",3.65964024047448
"540BCA168_6.24.14_1",3.74223461787733
"540CQCBBR_9.14.11_1",3.69874537501068
"540GNCBTC_9.13.11_1",3.38837586701943
"540MNCANF_9.29.10_1",3.2942505509381
"540MNCASJ_8.24.10_1",3.53219500607317
"540SDC212_6.16.14_1",3.59807245482023
"540SSJ200_6.24.14_1",3.39104617290359
"552DRCAEF_6.25.14_1",3.72001641713349
"552FCA017_7.30.13_1",3.91452291475924
"552KRSFBC_7.14.08_1",3.16060029422429
"552MFC120_7.22.13_1",4.03848152834716
"552PS0028_6.18.08_1",3.76162471804206
"552PS0072_8.30.11_1",3.7767154203643
"552PS0284_8.29.11_1",3.84849447419414
"553KRMAPC_8.22.11_1",3.29191560832099
"554FSC207_6.19.14_1",3.63124012756266
"554LCCADR_6.10.08_1",3.46845627347187
"554NYCGWD_8.25.11_1",3.50153851797645
"554PMCABC_8.24.11_1",3.47881085718177
"554PMCGWD_8.23.11_1",3.61237607032993
"554SED027_8.24.11_1",3.43260552345413
"555PS0064_6.17.08_1",3.66424210986244
"601PS0077_8.7.12_1",3.80056874667103
"603DDM004_7.9.13_1",3.65911696726952
"603GLS001_8.1.10_1",3.96835257133064
"603GSCADC_8.25.10_1",3.51084372124361
"603OHCAOR_8.24.10_1",3.54980272484023
"603PS0045_8.29.11_1",3.66608761729775
"603PS0056_8.31.11_1",3.53246465530555
"603PS0073_9.13.11_1",3.43931860162255
"603PS0076_7.23.12_1",3.7832621965006
"603PS0092_7.25.12_1",3.36720365574473
"603PS1056_8.14.12_1",3.55307777765163
"603PS1488_7.10.13_1",3.38533107586705
"603RCC156_7.16.13_1",3.69580707987555
"626PS0171_5.15.08_1",3.87236681787548
"626PS0619_6.3.10_1",3.64815793641425
"626PS0827_6.3.10_1",3.46861737294383
"626PS1195_5.23.13_1",3.8954214970044
"628MRW138_5.21.14_1",3.21776434060097
"630FCA097_8.22.13_1",3.70898307433452
"630PS0005_8.25.14_1",3.36021478801201
"630RBS005_8.12.14_1",3.36341531603252
"630SED034_8.6.12_1",3.96913707128019
"631LWK002_8.12.14_1",3.1772007453916
"631PS0001_9.29.10_1",3.51390449079493
"631PS0011_7.28.09_1",3.53953328491335
"631PS0023_8.4.09_1",3.70218275055621
"631PS0145_7.2.14_1",3.5933456998183
"631WWK005_7.29.10_1",3.86757947750989
"632CHV001_7.23.10_1",3.98303311462158
"632DIX001_9.3.12_1",3.66965423088751
"632HNCAHL_8.31.10_1",3.56673818346477
"632HOS002_9.4.12_1",3.74283698545166
"632MUR001_9.7.11_1",3.44201468873139
"632NOB001_9.1.10_1",3.46751519666647
"632PS0007_7.23.08_1",3.64259351775167
"632PS0014_8.3.09_1",3.60714933750277
"632PS0058_8.15.11_1",3.68125459556067
"632SVK001_8.27.14_1",3.42285109073023
"633PS0003_7.22.08_1",3.5681368123395
"633PS0083_9.4.12_1",3.92173381808973
"633WCR003_9.4.12_1",4.03886664740994
"633WE0991_9.9.14_1",3.68295296552214
"634CLD001_9.9.14_1",3.14898851161171
"634EGL005_10.3.11_1",3.3634565082104
"634GACALL_9.10.13_1",3.81487800970762
"634HID001_10.3.11_1",3.20202301684446
"634MKC278_9.8.14_1",3.42815740697694
"634PS0019_8.5.09_1",3.7463493953755
"634PS0099_9.10.12_1",3.44576970617297
"634R10BMW_9.29.11_1",3.55822586351786
"634R10GNL_10.3.11_1",3.5172592584828
"634R10UTR_9.28.11_1",3.55663528639623
"634TRT001_8.26.13_1",3.71678706929195
"634UTRADC_8.21.13_1",3.86714821869767
"635CLS001_7.9.10_1",3.87260796821841
"635PRN001_9.2.14_1",3.42559963866847
"635PS0038_8.9.10_1",3.70934627606317
"636PS0070_9.21.11_1",4.05233401737509
"636SHCWES_7.30.13_1",3.98834758832146
"705PCCPCP_5.21.13_1",3.38734904400571
"719HOTCPF_4.15.14_1",3.49846073910523
"719MISSCK_5.21.13_1",3.66468745756764
"719NP7AZC_4.9.14_1",3.59204395299411
"719NP7BNC_4.9.14_1",3.63722220358942
"719NP7DPC_4.8.14_1",3.57172162561441
"719NP7TWP_4.9.14_1",3.15368757701519
"719TRMDSS_4.8.14_1",3.1555947475995
"719WWRAEF_6.9.10_1",3.59142698873391
"719WWRPUS_5.13.13_1",3.60985788838453
"722ABSPPC_4.21.14_1",3.3908793993011
"801BNC530_6.19.14_1",3.631199968853
"801CCCCTT_5.15.13_1",3.50772831513655
"801CCWFAC_6.7.11_1",3.60125063981203
"801EEWADD_6.5.12_1",3.61117808335692
"801LCMFAS_5.13.13_1",3.53841028569597
"801S01671_7.10.12_1",3.76384830119754
