"","Predicted"
"103KLCMSR_9.14.10_1",2.94288176900108
"105PS0193_8.29.12_1",3.28261437622396
"105PS0660_8.3.10_1",4.11096196096035
"105TMCACC_8.10.10_1",3.30865464053376
"106MNCAHC_10.1.08_1",3.57054304861781
"106WE1079_8.8.12_1",3.15969366360487
"106WER016_10.20.09_1",3.68022876624742
"107LLM101_9.13.10_1",2.98368648306986
"111BGCAER_6.11.14_1",3.1229203058845
"111FS0007_7.11.11_1",3.42903048363614
"111PAL105_7.13.11_1",3.7720992817117
"202SPE090_6.15.09_1",3.28348662162985
"205AAG075_6.12.13_1",3.65452699724373
"205COY850_5.21.12_1",3.62012589544338
"205SFC880_6.19.12_1",3.57733292811307
"206BRC020_6.27.12_1",3.70435764969528
"207SUI290_6.4.12_1",3.7383453168968
"307CMRADC_5.20.14_1",3.5333422296768
"308LSRASC_7.18.11_1",3.62474630748099
"308MWCAH1_6.23.10_1",3.56087653303813
"308PS0156_6.19.12_1",3.41165573530068
"308ROCBBQ_6.21.12_1",3.73090210191035
"309ARCBRC_8.25.08_1",3.56822724284081
"309PS0116_6.16.11_1",3.9578299663015
"312PS0099_6.14.10_1",3.83259179858109
"315CHCALS_6.15.10_1",3.89956586769692
"402BA0095_5.29.08_1",3.83513162926792
"402M00009_6.29.15_1",3.53389144284586
"403S00960_6.2.10_1",3.99181603567029
"403S01536_7.12.11_1",3.82643947867125
"403WE0540_5.14.14_1",3.9330045157707
"403WE0683_5.15.13_1",3.49980832277928
"505PS0110_9.16.10_1",3.42444272598021
"513CCNASC_7.16.14_1",3.633774110723
"513STCAIV_6.12.14_1",3.56322692762233
"513UNCAKC_9.23.09_1",3.75263227119372
"514SSC190_9.11.14_1",3.42826895445421
"517FCA046_8.14.13_1",3.45403809572948
"518BTCASC_6.12.13_1",3.62702569350993
"518FCA075_8.12.13_1",3.47012617595532
"518SPC134_6.18.13_1",3.6725527862795
"522GSCBSC_9.24.09_1",3.54704372510732
"522PS0504_6.11.13_1",3.63719280362894
"526PNCAMF_6.25.13_1",3.518918800851
"526PS1420_6.25.13_1",3.599050428304
"534MLC108_9.14.11_1",3.43813684712881
"536HLCBFM_6.18.13_1",3.585477610967
"537TYCAML_7.16.08_1",3.55175105711764
"540SED003_8.30.11_1",3.54121818312214
"552DKC268_6.23.14_1",3.78323404941701
"552MFCAKR_6.11.08_1",3.7498431416237
"553KRNAYC_6.17.14_1",3.58627594088578
"554CLCALK_8.23.11_1",3.56928015194478
"603DDM005_9.13.11_1",3.50160670382755
"603FCA145_8.21.13_1",3.45983773332374
"603PS0008_7.30.08_1",3.52867458535581
"603PS0075_8.15.12_1",3.20405042658431
"603PS0109_7.29.08_1",3.55085399586012
"603PS0557_8.18.10_1",3.56920942235236
"603SPCBWC_7.22.08_1",3.37732183901469
"631DEP001_8.28.12_1",3.69526825929724
"631PS0033_8.30.10_1",3.34998474421464
"632ELD001_9.8.11_1",3.61007804050596
"634CAT055_10.4.11_1",3.81397023187486
"634GRF001_10.3.11_1",3.34978068504914
"634HHCATC_10.4.11_1",3.61034286689741
"634PS0035_9.1.10_1",3.80221209033435
"634PS0062_10.12.11_1",3.4371481911576
"634WSN001_10.4.11_1",3.51880154352662
"636SAG001_7.12.10_1",3.8431874455052
"639PS1279_6.11.13_1",3.57512955424525
"641OWC157_7.24.13_1",3.71124536237064
"722NP7IDC_4.16.14_1",3.6040296081747
"801DRC025_6.25.14_1",3.6283461843643
"801S03488_5.7.14_1",3.69279034200397
"801WE0674_5.14.13_1",3.53177499261503
"801WE1008_5.14.13_1",3.34704147652832
"801WE1132_8.19.09_1",3.545426194614
"901ATCAAS_6.5.08_1",4.07588746603316
"901CSCADC_5.26.11_1",4.01992970660304
"901S06969_5.31.12_1",3.9179466683909
"903WE0798_4.8.15_1",3.94367114949596
"905BCC_6.11.14_1",3.67541001388012
"905S02561_5.25.11_1",3.65100821120335
"909JQCASR_6.1.11_1",3.57777149153527
"911S03354_5.5.09_1",3.94360492178177
"911TJIND2_5.8.08_1",3.8305231465255
"911TJLCC2_4.7.15_1",3.44703364798366
"SCFC1_6.12.08_1",3.88622218343321
"SCSS1_6.17.08_1",3.51375863264028
"SMAD1_11.5.08_1",3.98908616345981
"SMC00135_6.7.10_1",3.56622020089128
"SMC01979_7.14.11_1",3.55151773488628
"SMC02139_7.17.12_1",3.49137970336559
"SMC04204_7.11.12_1",3.45469206411877
"SMC04383_5.19.14_1",3.66265979243857
"SMC06467_6.28.10_1",3.84949973044713
"SMC19809_6.25.13_1",3.64016698132105
