"","Predicted"
"105PS0188_8.26.08_1",4.04579492741
"105PS0188_8.26.08_2",4.04579492741
"106FC1183_7.24.14_1",3.4193185689472
"106FC1313_7.23.14_1",3.62920013573242
"106PS0078_8.26.09_1",3.68675861977577
"106PS0173_8.4.11_1",3.39508562446419
"106PS0186_9.26.12_1",3.45071808620576
"109PS0162_7.20.11_1",3.20961388840676
"110ECSLSF_7.26.11_1",3.19624246741327
"110FCA102_7.25.13_1",3.10006488019881
"111CR1012_8.18.14_1",3.68731209277459
"111PS0057_8.18.08_1",3.21899525920757
"113GAR010_6.8.09_1",3.48217840314551
"113GAR010_8.27.12_1",3.48217840314551
"113GAR038_6.8.09_1",3.55162436417191
"113GAR038_9.10.12_1",3.55162436417191
"113GAR046_6.18.12_1",3.44441489359642
"113GAR046_6.8.09_1",3.44441489359642
"113GAR046_9.2.14_1",3.44441489359642
"113GAR061_6.19.12_1",3.45074674837136
"113GAR061_7.1.09_1",3.45074674837136
"113GAR061_9.3.14_1",3.45074674837136
"113GAR061_9.3.14_2",3.45074674837136
"113GAR084_6.28.10_1",3.51094589514705
"113GAR094_7.27.10_1",3.42230592904498
"113GAR094_7.27.10_2",3.42230592904498
"113GAR110_6.18.12_1",3.57591973668108
"113GAR110_6.30.09_1",3.57591973668108
"113GAR110_9.2.14_1",3.57591973668108
"113PS0084_8.18.09_1",3.65375891504572
"113PS0100_8.25.09_1",3.57641013341906
"113PS0132_9.15.10_1",3.82708822081552
"113PS0196_8.1.12_1",3.7239120772393
"114CR0903_8.26.13_1",3.57198809385802
"114CR0903_9.25.13_1",3.57198809385802
"114PS0149_7.10.12_1",3.32862229878749
"114PS0152_7.7.11_1",3.51715857600345
"114PS0152_8.18.11_1",3.51715857600345
"114RR1041_10.10.11_1",3.24801010087266
"114RR1041_10.25.11_1",3.24801010087266
"114RR1041_10.25.11_2",3.24801010087266
"114RR1041_8.2.11_1",3.24801010087266
"114RR1041_9.7.11_1",3.24801010087266
"114RR1310_6.2.11_1",3.24810583391209
"114RR1599_10.10.11_1",3.30282146168535
"114RR1599_10.25.11_1",3.30282146168535
"114RR1599_6.2.11_1",3.30282146168535
"114RR1599_6.27.11_1",3.30282146168535
"114RR1599_8.2.11_1",3.30282146168535
"114RR1599_8.2.11_2",3.30282146168535
"114RR1599_9.7.11_1",3.30282146168535
"114RR2678_10.11.11_1",3.5522030222217
"114RR2678_10.24.11_1",3.5522030222217
"114RR2678_6.29.11_1",3.5522030222217
"114RR2678_8.1.11_1",3.5522030222217
"114RR2678_9.13.11_1",3.5522030222217
"114RR2769_6.1.11_1",3.5522030222217
"114RR2899_10.11.11_1",3.2673965655351
"114RR2899_10.24.11_1",3.2673965655351
"114RR2899_6.1.11_1",3.2673965655351
"114RR2899_6.29.11_1",3.2673965655351
