"","Predicted"
"102PS0139_8.9.10_1",0.975968223822172
"103FCA168_7.24.13_1",0.948152485435865
"103PS0217_9.10.13_1",0.949050321974679
"103RDCBCC_7.21.11_1",0.957397752550324
"105PS0028_8.12.08_1",0.968587044854757
"105PS0028_8.26.08_1",0.968587044854757
"105PS0067_8.24.09_1",0.965853627567571
"105PS0067_8.24.09_2",0.965853627567571
"105PS0067_9.15.09_1",0.965853627567571
"105PS0069_8.18.09_1",0.942120067884691
"105PS0092_8.11.08_1",0.965364922718639
"105PS0107_9.14.09_1",0.976054218040778
"105PS0129_8.11.10_1",0.947535803383608
"105PS0129_8.11.10_2",0.947535803383608
"105PS0149_8.29.12_1",0.947739534143937
"105PS0211_8.20.13_1",0.959544701788228
"105PS0211_9.16.13_1",0.959544701788228
"105PS0231_8.29.13_1",0.96457359175437
"105PS0276_9.1.09_1",0.972753679592211
"105PS0276_9.22.09_1",0.972753679592211
"105PS0540_8.5.10_1",0.968819230435474
"105PS1148_9.18.12_1",0.96331602070266
"105PS1404_8.28.13_1",0.956715876985805
"105PS1404_8.28.13_2",0.956715876985805
"106FCA036_7.15.13_1",0.955023971282795
"106HLCACC_9.23.13_1",0.945691043642145
"106PS0022_9.30.08_1",0.942560072899738
"106PS0051_9.16.08_1",0.968980449385402
"106PS0051_9.16.08_2",0.968980449385402
"106PS0106_9.8.09_1",0.965484275904963
"106PS0106_9.8.09_2",0.965484275904963
"106PS0122_9.20.10_1",0.952942661876405
"106PS0142_7.19.10_1",0.962392076090999
"106PS0206_10.3.12_1",0.959552289767891
"106PTCAHC_9.2.08_1",0.973962187988937
"107GWCAPC_9.15.10_1",0.957076828513382
"107RWCBHW_8.3.11_1",0.957367591844677
"107RWCBHW_8.3.11_2",0.957367591844677
"108PS0197_8.16.12_1",0.957210337057826
"110PS0114_7.21.10_1",0.957741041637321
"110SMCATH_7.27.11_1",0.952959249573457
"111CE0569_10.11.10_1",0.95778511265353
"111FCA207_7.23.13_1",0.941701222977634
"111PS0008_9.29.08_1",0.964309237665343
"111PS0008_9.9.08_1",0.964309237665343
"111PS0008_9.9.08_2",0.964309237665343
"111PS0013_8.19.08_1",0.942750276960494
"111PS0095_8.27.09_1",0.961312748511599
"111PS0095_8.27.09_2",0.961312748511599
"111PS0121_7.20.10_1",0.947474083643489
"111PS0159_7.14.11_1",0.946461419816187
"111PS0169_7.25.11_1",0.957783240544494
"111PS0169_7.25.11_2",0.957783240544494
"111PS0178_8.14.12_1",0.942120067884691
"111PS0237_9.12.13_1",0.945477072719005
"112PS0157_7.12.11_1",0.932287569722152
"113GAR011_8.22.11_1",0.958411467791328
"113GAR011_9.1.10_1",0.958411467791328
"113GAR015_8.23.11_1",0.955801927430121
"113GAR015_8.31.10_1",0.955801927430121
"113GAR015_9.9.13_1",0.955801927430121
"113GAR023_7.22.14_1",0.959046664855279
"113GAR023_8.5.13_1",0.959046664855279
"113GAR030_8.26.09_1",0.954082834252062
"113GAR030_8.26.09_2",0.954082834252062
"113GAR030_8.28.12_1",0.954082834252062
"113GAR042_9.10.13_1",0.95538656563295
"113GAR062_6.30.09_1",0.955166370413427
"113GAR062_8.27.12_1",0.955166370413427
"113GAR087_6.29.10_1",0.949670736459545
"113GAR087_8.6.13_1",0.949670736459545
"113GAR087_9.11.12_1",0.949670736459545
"113GAR087_9.11.12_2",0.949670736459545
"113GAR089_6.14.10_1",0.940138123160789
"113GAR089_6.20.11_1",0.940138123160789
"113GAR089_8.5.09_1",0.940138123160789
"113GAR105_6.14.10_1",0.946227306514438
"113GAR105_6.20.11_1",0.946227306514438
"113GAR105_8.4.09_1",0.946227306514438
"113GAR112_6.15.10_1",0.948928610848786
"113GAR112_7.22.14_1",0.948928610848786
"113GAR112_8.22.11_1",0.948928610848786
"113GAR112_8.4.09_1",0.948928610848786
