"","Predicted"
"102PS0177_8.28.12_1",0.953498842637014
"103CDCHHR_9.14.10_1",0.949050321974679
"103STCNSR_8.9.11_1",0.917652837931682
"103WER026_8.15.12_1",0.960741356929766
"103WER029_7.16.14_1",0.942617472920794
"103WER030_8.10.11_1",0.91973384427977
"105BVCAGC_9.21.10_1",0.946931246478952
"105CE0329_7.23.14_1",0.949534436648964
"105CLCATC_8.10.10_1",0.953106710040356
"105DLCDCC_10.20.09_1",0.948657908434118
"105FCA116_7.16.13_1",0.945086325833178
"105FS0416_9.24.13_1",0.959981219053102
"105FS0425_8.10.11_1",0.966041512122652
"105FS0428_8.3.11_1",0.94860085999383
"105NWC151_6.26.13_1",0.982230480603173
"105PS0043_9.17.08_1",0.969463084852098
"105PS0083_9.8.09_1",0.973405757852555
"105PS0090_8.7.12_1",0.96036960693631
"105PS0097_7.22.14_1",0.942920669366317
"105PS0154_8.9.11_1",0.967941675952578
"105PS0195_8.7.12_1",0.965432621233193
"105PS0259_9.17.13_1",0.965539774411138
"105PS0267_7.21.14_1",0.969317213186841
"105PS0468_9.1.09_1",0.984260737423649
"105PS0540_9.15.10_1",0.968819230435474
"105PS1492_8.6.14_1",0.98538994228162
"105WE0598_7.24.14_1",0.931402393129494
"105WLC135_6.26.13_1",0.98484367793523
"105WLCABC_8.3.11_1",0.949549781171053
"106FS0040_8.30.11_1",0.950060510805358
"106PS0115_9.21.10_1",0.957360002675514
"106PS0124_8.16.10_1",0.964534473234949
"106PS0166_8.2.11_1",0.954370480525182
"106WE0505_7.21.14_1",0.965302159634082
"106WER011_9.11.13_1",0.965215242625637
"107PS0021_7.14.14_1",0.948781671782482
"107WER092_8.27.12_1",0.956705673877487
"111BBRBCC_9.23.09_1",0.960328899453531
"111CBCAER_8.8.13_1",0.977182582524345
"111ERATRC_10.10.12_1",0.96794219288805
"111FS0001_7.5.11_1",0.961559624038712
"111FS0008_7.19.12_1",0.971860509511974
"111HSCAER_7.26.11_1",0.961450096483952
"111PS0060_10.7.08_1",0.964309414439892
"111PS0110_6.9.14_1",0.963344594827509
"111PS0144_8.18.10_1",0.967304539389515
"111PS0160_7.25.11_1",0.951993042256642
"111PS0204_8.17.10_1",0.957943079510307
"111RSCAER_8.8.11_1",0.949269640480282
"111TGCAER_7.24.12_1",0.955055852607626
"111WE0816_6.12.13_1",0.970129625493858
"111WE1050_6.12.13_1",0.976913143048194
"111WE1071_7.26.12_1",0.978355146823854
"111WER003_6.10.14_1",0.945452157161823
"111WER008_7.23.12_1",0.958439748553655
"111WER159_10.19.09_1",0.948119644921407
"113RG8046_8.19.10_1",0.977672888478896
"114CE0131_7.31.12_1",0.981220448540117
"114PS0145_6.20.11_1",0.977110736736416
"114WE0614_7.9.12_1",0.977080378932923
"115EBAG01_7.1.10_1",0.972000069198312
"201AHO350_6.20.12_1",0.960608081453583
"201CHE300_6.18.12_1",0.964501511502152
"201LAG335_7.15.09_1",0.949172373222472
"201MRS020_9.13.10_1",0.967240726310454
"202BUT030_6.29.10_1",0.965816878480391
"202BUT040_6.4.14_1",0.964243075558853
"202BUT050_6.16.09_1",0.928710269110797
"202BUT480_6.25.12_1",0.955977952391376
"202BUT600_6.26.12_1",0.958283189094524
"202DRY010_6.5.13_1",0.962816696676132
"202PES168_6.6.13_1",0.958061948515423
"202R00024_6.6.12_1",0.96468526254117
"202R00280_5.22.13_1",0.96431206767301
"204AHOACR_6.2.14_1",0.963472008625032
"204ALA500_6.10.13_1",0.967826105457828
"204ARH090_6.2.14_1",0.977234943688899
"204IND200_5.25.10_1",0.964557408025356
"204R00189_5.6.13_1",0.979798116759844
"204SIN300_5.15.12_1",0.966762924105057
"204VAL400_5.19.14_1",0.977384333347995
"205AAG375_5.14.14_1",0.977435817774051
"205AAG400_6.5.12_1",0.971860550130154
"205COY585_5.28.13_1",0.984305049022369
"205COY610_6.3.10_1",0.975384137279056
"205COY615_6.3.14_1",0.98509415901319
"205COY853_5.29.14_1",0.984412042492577
"205COY900_5.16.12_1",0.979997413272292
"205COY930_5.7.13_1",0.980121070461245
"205CYCAHH_6.10.08_1",0.978054688207128
"205CYCBBC_6.28.10_1",0.97613920042198
"205LGA700_5.23.12_1",0.963782309220803
"205R00021_5.16.12_1",0.973908864866776
"205R00182_5.7.13_1",0.966575193189597
"205WUN450_6.11.12_1",0.966428188341341
"205WUN550_5.6.13_1",0.96331114448972
"206HCT020_5.29.12_1",0.964129101820744
"206RCCBDC_7.20.10_1",0.943494447127566
"206TUL120_6.13.11_1",0.964489367467571
"207GVC800_5.23.13_1",0.96416552175371
"207SUI800_5.5.14_1",0.973594277648205
"304WDCAH1_6.29.10_1",0.963604336133298
"305LGCACR_7.16.08_1",0.978065085699622
"305LGCBRC_6.30.10_1",0.967656044098832
"305SSCAUC_6.29.10_1",0.953498704163319
"305UVCASC_6.29.10_1",0.956395161830939
"307CE0094_6.12.12_1",0.969023599238001
"307SCCARR_6.21.10_1",0.968091428640432
"308BSU_7.13.10_1",0.960585553888364
"308LILPAL_6.20.12_1",0.974635564124567
"308PWCAH1_6.22.10_1",0.967548965050496
"308SAM_6.23.10_1",0.96731691119522
"308SANWIL_6.12.12_1",0.968639233012969
"308SBCAH1_6.21.10_1",0.969163341991836
"309ARSARC_6.23.10_1",0.967542815393754
"309CAW126_5.21.14_1",0.975753061639641
"309NAF_5.24.12_1",0.975058569868557
"309WLCATC_6.22.10_1",0.965146589205097
"310COO_6.24.10_1",0.954526315357972
"310LPCBPC_6.9.09_1",0.968403876421253
"312DAVDAV_6.7.12_1",0.975755868237391
"312MZCDBC_5.13.14_1",0.976757602939221
"312RYCALR_6.16.10_1",0.967478825596506
"402BA0287_6.9.08_1",0.977286759859946
"402M00005_6.11.15_1",0.981847997767737
"402MTCUNF_6.5.12_1",0.978045379120422
"402PS0048_5.21.08_1",0.97640579244801
"403BA0015_5.19.08_1",0.977612687748141
"403BA0064_6.18.14_1",0.971678160283499
"403BA0140_5.21.08_1",0.973901503456556
"403BA0171_5.19.08_1",0.978408115813803
"403LNCASC_6.15.10_1",0.96476433822906
"403S00875_6.24.10_1",0.978686051756399
"403S01883_6.21.10_1",0.961859685059748
"403S03643_6.24.10_1",0.9806872342867
"403S06315_6.27.12_1",0.978211621143289
"403STC064_6.8.11_1",0.970013147970384
"403STC086_6.21.11_1",0.97863494084471
"403WE0501_5.14.13_1",0.978366426349094
"403WE1027_5.14.14_1",0.936677725440926
"405BRCAMS_6.7.11_1",0.971246775137403
"405BRCASG_5.7.14_1",0.969720684783752
"405BRCSGR_5.28.08_1",0.964465646603397
"405SGRAAG_5.28.08_1",0.954133217212888
"405WER318_8.18.09_1",0.972017549591818
