"","Predicted"
"103KLCMSR_9.14.10_1",0.919834295407589
"105PS0193_8.29.12_1",0.945847942237601
"105PS0660_8.3.10_1",0.982088309925198
"105TMCACC_8.10.10_1",0.955565169658425
"106MNCAHC_10.1.08_1",0.945660024622618
"106WE1079_8.8.12_1",0.951201799880519
"106WER016_10.20.09_1",0.974014696113782
"107LLM101_9.13.10_1",0.950609632852516
"111BGCAER_6.11.14_1",0.955714465345777
"111FS0007_7.11.11_1",0.968081679638453
"111PAL105_7.13.11_1",0.953138036236685
"202SPE090_6.15.09_1",0.954175956797256
"205AAG075_6.12.13_1",0.967887944290913
"205COY850_5.21.12_1",0.976473084140328
"205SFC880_6.19.12_1",0.973452660454286
"206BRC020_6.27.12_1",0.966292711613782
"207SUI290_6.4.12_1",0.969456676915391
"307CMRADC_5.20.14_1",0.97166724244348
"308LSRASC_7.18.11_1",0.963438660437918
"308MWCAH1_6.23.10_1",0.968376471410457
"308PS0156_6.19.12_1",0.966754505992872
"308ROCBBQ_6.21.12_1",0.968395304488216
"309ARCBRC_8.25.08_1",0.972987250223301
"309PS0116_6.16.11_1",0.972748400123081
"312PS0099_6.14.10_1",0.975468920539241
"315CHCALS_6.15.10_1",0.972560563475563
"402BA0095_5.29.08_1",0.977860591096334
"402M00009_6.29.15_1",0.973618362697996
"403S00960_6.2.10_1",0.967480859738652
"403S01536_7.12.11_1",0.957923214702417
"403WE0540_5.14.14_1",0.969133731156024
"403WE0683_5.15.13_1",0.973284210105235
"505PS0110_9.16.10_1",0.956428321687534
"513CCNASC_7.16.14_1",0.963883573410409
"513STCAIV_6.12.14_1",0.952301456800231
"513UNCAKC_9.23.09_1",0.951798705591036
"514SSC190_9.11.14_1",0.969233921390209
"517FCA046_8.14.13_1",0.964528979305091
"518BTCASC_6.12.13_1",0.966254040708132
"518FCA075_8.12.13_1",0.961867177518497
"518SPC134_6.18.13_1",0.971229547876311
"522GSCBSC_9.24.09_1",0.969328054886368
"522PS0504_6.11.13_1",0.953590790108875
"526PNCAMF_6.25.13_1",0.973708233479576
"526PS1420_6.25.13_1",0.967266995256415
"534MLC108_9.14.11_1",0.959714005825531
"536HLCBFM_6.18.13_1",0.970986322228629
"537TYCAML_7.16.08_1",0.966228548166786
"540SED003_8.30.11_1",0.96471297192534
"552DKC268_6.23.14_1",0.978791366294835
"552MFCAKR_6.11.08_1",0.973752636847308
"553KRNAYC_6.17.14_1",0.962702013238484
"554CLCALK_8.23.11_1",0.967941721595453
"603DDM005_9.13.11_1",0.973690362496427
"603FCA145_8.21.13_1",0.972845578683406
"603PS0008_7.30.08_1",0.964676343759455
"603PS0075_8.15.12_1",0.973593811573121
"603PS0109_7.29.08_1",0.973309837772164
"603PS0557_8.18.10_1",0.972870723952586
"603SPCBWC_7.22.08_1",0.959842059344261
"631DEP001_8.28.12_1",0.971924335928882
"631PS0033_8.30.10_1",0.965159369228407
"632ELD001_9.8.11_1",0.972928560859019
"634CAT055_10.4.11_1",0.967171730188632
"634GRF001_10.3.11_1",0.972750466336663
"634HHCATC_10.4.11_1",0.970108335563256
"634PS0035_9.1.10_1",0.977223998719561
"634PS0062_10.12.11_1",0.967918855403399
"634WSN001_10.4.11_1",0.971346564917853
"636SAG001_7.12.10_1",0.977406508503367
"639PS1279_6.11.13_1",0.969280854214103
"641OWC157_7.24.13_1",0.971040668061949
"722NP7IDC_4.16.14_1",0.977479318869829
"801DRC025_6.25.14_1",0.970262367062059
"801S03488_5.7.14_1",0.969810875747324
"801WE0674_5.14.13_1",0.970875652502239
"801WE1008_5.14.13_1",0.97168342458221
"801WE1132_8.19.09_1",0.974027862992473
"901ATCAAS_6.5.08_1",0.980682696115756
"901CSCADC_5.26.11_1",0.977470093990555
"901S06969_5.31.12_1",0.975451475360914
"903WE0798_4.8.15_1",0.979007088182167
"905BCC_6.11.14_1",0.980091223035795
"905S02561_5.25.11_1",0.971608993801152
"909JQCASR_6.1.11_1",0.976491129271756
"911S03354_5.5.09_1",0.977023376566393
"911TJIND2_5.8.08_1",0.9786993209636
"911TJLCC2_4.7.15_1",0.972310794989356
"SCFC1_6.12.08_1",0.96998008923356
"SCSS1_6.17.08_1",0.974452105690209
"SMAD1_11.5.08_1",0.981456710561425
"SMC00135_6.7.10_1",0.973855365215098
"SMC01979_7.14.11_1",0.975519951791579
"SMC02139_7.17.12_1",0.963185458603666
"SMC04204_7.11.12_1",0.96980607988707
"SMC04383_5.19.14_1",0.977733715690937
"SMC06467_6.28.10_1",0.97631752047047
"SMC19809_6.25.13_1",0.981307866393334
