,Type,Combo,cnt.spp.IndicatorClass_TP_high,prop.spp.IndicatorClass_DOC_high,prop.spp.Green,prop.spp.BCG3
000CAT148_8.10.10_1,ref,1.222209545,1.069278201,0.48839336,1.347340894,1.983825725
000CAT228_8.10.10_1,ref,1.219274383,1.060086298,0.496587757,1.983825725,1.336597751
102PS0177_8.28.12_1,ref,1.142910512,1.077872716,1.733295816,1.097919581,0.662553937
102PS0177_8.28.12_2,ref,0.943346033,1.58706058,1.192810341,0.694104124,0.299409088
103CDCHHR_9.14.10_1,ref,0.604154774,1.069278201,0,1.347340894,0
103CDCHHR_9.14.10_2,ref,0.760978006,1.060086298,0,1.983825725,0
103KLCMSR_9.14.10_1,ref,1.03997118,1.077872716,1.621949189,1.018360191,0.441702624
103STCNSR_8.9.11_1,ref,1.161382837,1.983825725,1.336597751,1.325107873,0
103WER026_8.15.12_1,ref,1.154206751,1.069278201,1.202389744,1.154863624,1.190295435
103WER026_8.15.12_2,ref,1.121908804,1.060086298,1.246236898,1.367730779,0.81358124
103WER029_7.16.14_1,ref,1.166987418,1.077872716,1.685575833,1.336597751,0.567903374
103WER030_8.10.11_1,ref,0.851199156,1.58706058,0.49262817,1.325107873,0
105BVCAGC_9.21.10_1,ref,1.400708641,1.069278201,1.202389744,1.347340894,1.983825725
105CE0329_7.23.14_1,ref,1.161560238,1.060086298,1.297296592,1.817117681,0.471740383
105CLCATC_8.10.10_1,ref,0.828822432,0.538936358,1.566275876,0.381885072,0.828192421
105DLCDCC_10.20.09_1,ref,1.284488046,1.58706058,0.878442836,1.325107873,1.347340894
105DLCDCC_5.19.09_1,ref,0.65187849,1.069278201,0.190894867,1.347340894,0
105DLCDCC_6.23.09_1,ref,1.316503313,1.060086298,0.885503477,1.983825725,1.336597751
105DLCDCC_8.5.09_1,ref,1.023322526,1.077872716,1.265639985,0.954712679,0.795064724
105DLCDCC_9.15.09_1,ref,1.08595113,1.190295435,0.717686725,1.088481467,1.347340894
105FCA116_7.16.13_1,ref,0.800627737,1.069278201,0.785891854,1.347340894,0
105FS0416_9.24.13_1,ref,0.737045566,0.795064724,0.799077762,1.35403978,0
105FS0425_8.10.11_1,ref,1.05220733,1.077872716,1.800103791,0.668298876,0.662553937
105FS0428_8.3.11_1,ref,1.204432537,1.58706058,1.135652613,1.325107873,0.769909083
105NWC151_6.26.13_1,ref,1.098557639,1.069278201,1.132973429,0.759215901,1.432763023
105PS0043_9.17.08_1,ref,1.244144486,1.060086298,0.950322764,1.629571131,1.336597751
105PS0083_9.8.09_1,ref,1.245389359,1.077872716,1.621949189,1.177478971,1.104256561
105PS0090_8.25.09_1,ref,0.87156464,1.190295435,0.792706243,0.904438707,0.598818175
105PS0090_8.7.12_1,ref,1.031547217,1.069278201,1.125890132,0.797405835,1.1336147
105PS0097_7.22.14_1,ref,1.095558245,1.060086298,1.190535414,1.817117681,0.314493589
105PS0097_9.8.09_1,ref,1.095184008,1.077872716,1.621949189,1.018360191,0.662553937
105PS0097_9.8.09_2,ref,1.255702468,1.58706058,1.032768702,1.325107873,1.077872716
105PS0154_8.9.11_1,ref,1.057968116,1.069278201,1.202389744,0.769909083,1.190295435
105PS0154_8.9.11_2,ref,1.119820193,1.060086298,1.252812768,1.275316537,0.891065167
