"","Type","Sums","Means"
"000CAT148_8.10.10_1","ref",4.88883818007657,1.22220954501914
"000CAT228_8.10.10_1","ref",4.87709753137295,1.21927438284324
"102PS0177_8.28.12_1","ref",4.5716420488772,1.1429105122193
"102PS0177_8.28.12_2","ref",3.77338413239706,0.943346033099265
"103CDCHHR_9.14.10_1","ref",2.4166190953336,0.604154773833399
"103CDCHHR_9.14.10_2","ref",3.04391202304739,0.760978005761846
"103KLCMSR_9.14.10_1","ref",4.15988472048772,1.03997118012193
"103STCNSR_8.9.11_1","ref",4.6455313488348,1.1613828372087
"103WER026_8.15.12_1","ref",4.61682700395658,1.15420675098914
"103WER026_8.15.12_2","ref",4.48763521573364,1.12190880393341
"103WER029_7.16.14_1","ref",4.66794967368555,1.16698741842139
"103WER030_8.10.11_1","ref",3.4047966229527,0.851199155738175
"105BVCAGC_9.21.10_1","ref",5.602834564429,1.40070864110725
"105CE0329_7.23.14_1","ref",4.64624095393098,1.16156023848275
"105CLCATC_8.10.10_1","ref",3.31528972629448,0.82882243157362
"105DLCDCC_10.20.09_1","ref",5.13795218292472,1.28448804573118
"105DLCDCC_5.19.09_1","ref",2.60751396198338,0.651878490495844
"105DLCDCC_6.23.09_1","ref",5.26601325125583,1.31650331281396
"105DLCDCC_8.5.09_1","ref",4.09329010395846,1.02332252598961
"105DLCDCC_9.15.09_1","ref",4.34380452144264,1.08595113036066
"105FCA116_7.16.13_1","ref",3.20251094894374,0.800627737235935
"105FS0416_9.24.13_1","ref",2.9481822656173,0.737045566404325
"105FS0425_8.10.11_1","ref",4.20882931889986,1.05220732972497
"105FS0428_8.3.11_1","ref",4.81773014809739,1.20443253702435
"105NWC151_6.26.13_1","ref",4.39423055441906,1.09855763860477
"105PS0043_9.17.08_1","ref",4.97657794422208,1.24414448605552
"105PS0083_9.8.09_1","ref",4.98155743691144,1.24538935922786
"105PS0090_8.25.09_1","ref",3.48625856049944,0.87156464012486
"105PS0090_8.7.12_1","ref",4.12618886805075,1.03154721701269
"105PS0097_7.22.14_1","ref",4.38223298166759,1.0955582454169
"105PS0097_9.8.09_1","ref",4.38073603266154,1.09518400816539
"105PS0097_9.8.09_2","ref",5.02280987027921,1.2557024675698
"105PS0154_8.9.11_1","ref",4.23187246270214,1.05796811567553
"105PS0154_8.9.11_2","ref",4.47928077116826,1.11982019279207
"105PS0193_8.29.12_1","ref",3.82603225350662,0.956508063376656
"105PS0195_8.7.12_1","ref",4.56404056668068,1.14101014167017
"105PS0259_9.17.13_1","ref",4.56629692810047,1.14157423202512
"105PS0267_7.21.14_1","ref",4.86929600969239,1.2173240024231
"105PS0468_9.1.09_1","ref",4.44693134226282,1.11173283556571
"105PS0540_9.15.10_1","ref",3.4047966229527,0.851199155738175
"105PS0660_8.3.10_1","ref",3.91599866997312,0.97899966749328
"105PS0660_8.3.10_2","ref",3.67286803107457,0.918217007768642
"105PS1492_8.6.14_1","ref",4.57167266491808,1.14291816622952
"105TMCACC_8.10.10_1","ref",5.0904779585132,1.2726194896283
"105WE0598_7.24.14_1","ref",4.61682700395658,1.15420675098914
"105WLC135_6.26.13_1","ref",3.02077622917258,0.755194057293144
"105WLCABC_8.3.11_1","ref",4.14500337167623,1.03625084291906
"106FS0040_8.30.11_1","ref",3.70487469618274,0.926218674045686
"106MNCAHC_10.1.08_1","ref",2.90501245546356,0.72625311386589
"106MNCAHC_10.1.08_2","ref",3.54049978019413,0.885124945048533
"106PS0115_9.21.10_1","ref",4.55367487130229,1.13841871782557
"106PS0124_8.16.10_1","ref",4.79287147372713,1.19821786843178
"106PS0166_8.2.11_1","ref",4.34317305799033,1.08579326449758
"106WE0505_7.21.14_1","ref",4.72405222165821,1.18101305541455
"106WE1079_8.8.12_1","ref",4.30031591274124,1.07507897818531
"106WER011_9.11.13_1","ref",4.70443362889941,1.17610840722485
"106WER016_10.20.09_1","ref",5.42433546834089,1.35608386708522
"106WER016_5.18.09_1","ref",4.54289188642391,1.13572297160598
"106WER016_6.22.09_1","ref",4.47443839958174,1.11860959989544
"106WER016_8.4.09_1","ref",4.12377982464694,1.03094495616174
"106WER016_9.16.09_1","ref",5.19731490798094,1.29932872699523
"107LLM101_9.13.10_1","ref",4.14547978890083,1.03636994722521
"107PS0021_7.14.14_1","ref",4.38848532764136,1.09712133191034
"107PS0021_9.3.08_1","ref",4.07846707014797,1.01961676753699
"107WER092_8.27.12_1","ref",4.67612392698567,1.16903098174642
"111BBRBCC_9.23.09_1","ref",2.29118925900078,0.572797314750196
"111BGCAER_10.6.09_1","ref",3.561036626315,0.890259156578749
"111BGCAER_6.11.14_1","ref",4.39445217758291,1.09861304439573
"111CBCAER_8.8.13_1","ref",4.2913256832882,1.07283142082205
"111CBCAER_8.8.13_2","ref",3.53392824689756,0.883482061724391
"111CE0569_5.11.10_1","ref",2.41447046669125,0.603617616672813
"111CE0569_6.15.10_1","ref",3.70487469618274,0.926218674045686
"111CE0569_7.20.10_1","ref",4.88883818007657,1.22220954501914
"111CE0569_9.1.10_1","ref",3.99423478672416,0.998558696681039
"111ERATRC_10.10.12_1","ref",4.59644640275275,1.14911160068819
"111FS0001_7.5.11_1","ref",3.79061128853418,0.947652822133546
"111FS0007_7.11.11_1","ref",3.08351155155167,0.770877887887917
"111FS0008_5.2.12_1","ref",3.54049978019413,0.885124945048533
"111FS0008_6.7.12_1","ref",3.71361536061935,0.928403840154838
"111FS0008_7.19.12_1","ref",3.5249544663399,0.881238616584975
"111FS0008_7.6.11_1","ref",4.52506143201908,1.13126535800477
"111HSCAER_7.26.11_1","ref",4.22843854067534,1.05710963516883
"111HSCAER_7.26.11_2","ref",4.26719186732603,1.06679796683151
"111PAL105_7.13.11_1","ref",4.56052037104306,1.14013009276077
"111PS0060_10.7.08_1","ref",3.55938151816132,0.88984537954033
"111PS0110_6.24.09_1","ref",4.62082198274146,1.15520549568537
"111PS0110_6.9.14_1","ref",4.89474586622389,1.22368646655597
"111PS0144_8.18.10_1","ref",4.7440874106187,1.18602185265468
"111PS0160_7.25.11_1","ref",4.23404003357309,1.05851000839327
"111PS0204_8.17.10_1","ref",4.08498178803016,1.02124544700754
"111RSCAER_8.8.11_1","ref",3.18357221140216,0.795893052850541
"111TGCAER_7.24.12_1","ref",4.10527126308214,1.02631781577054
"111TGCAER_8.17.10_1","ref",3.27567118920028,0.81891779730007
"111WE0816_6.12.13_1","ref",3.84799345904695,0.961998364761738
"111WE1050_6.12.13_1","ref",4.49891454445486,1.12472863611372
"111WE1071_7.26.12_1","ref",4.49143518426593,1.12285879606648
"111WER003_6.10.14_1","ref",4.12254941523478,1.03063735380869
"111WER008_7.23.12_1","ref",4.57057771843097,1.14264442960774
"111WER159_10.19.09_1","ref",4.9161410239294,1.22903525598235
