"","Predicted"
"102PS0139_8.9.10_1",0.266324405075414
"103FCA168_7.24.13_1",0.339895720604233
"103PS0217_9.10.13_1",0.320689143189092
"103RDCBCC_7.21.11_1",0.343035332890233
"105PS0028_8.12.08_1",0.305683020031292
"105PS0028_8.26.08_1",0.305683020031292
"105PS0067_8.24.09_1",0.186387213838028
"105PS0067_8.24.09_2",0.186387213838028
"105PS0067_9.15.09_1",0.186387213838028
"105PS0069_8.18.09_1",0.257504562985041
"105PS0092_8.11.08_1",0.243290445833026
"105PS0107_9.14.09_1",0.222813021841662
"105PS0129_8.11.10_1",0.277473247677725
"105PS0129_8.11.10_2",0.277473247677725
"105PS0149_8.29.12_1",0.191616815871648
"105PS0211_8.20.13_1",0.25710274784623
"105PS0211_9.16.13_1",0.25710274784623
"105PS0231_8.29.13_1",0.23599913806607
"105PS0276_9.1.09_1",0.314865231430598
"105PS0276_9.22.09_1",0.314865231430598
"105PS0540_8.5.10_1",0.383703930350319
"105PS1148_9.18.12_1",0.162803917497264
"105PS1404_8.28.13_1",0.283801343694512
"105PS1404_8.28.13_2",0.283801343694512
"106FCA036_7.15.13_1",0.350318130769092
"106HLCACC_9.23.13_1",0.283679505435192
"106PS0022_9.30.08_1",0.275572845749819
"106PS0051_9.16.08_1",0.25360254580367
"106PS0051_9.16.08_2",0.25360254580367
"106PS0106_9.8.09_1",0.266499918378104
"106PS0106_9.8.09_2",0.266499918378104
"106PS0122_9.20.10_1",0.245344488442291
"106PS0142_7.19.10_1",0.283490570562991
"106PS0206_10.3.12_1",0.237650262774227
"106PTCAHC_9.2.08_1",0.244979464372269
"107GWCAPC_9.15.10_1",0.308982659061426
"107RWCBHW_8.3.11_1",0.242722227257341
"107RWCBHW_8.3.11_2",0.242722227257341
"108PS0197_8.16.12_1",0.287724150921598
"110PS0114_7.21.10_1",0.506677015288108
"110SMCATH_7.27.11_1",0.67613923576902
"111CE0569_10.11.10_1",0.319059136994556
"111FCA207_7.23.13_1",0.372216036146031
"111PS0008_9.29.08_1",0.240606063657874
"111PS0008_9.9.08_1",0.240606063657874
"111PS0008_9.9.08_2",0.240606063657874
"111PS0013_8.19.08_1",0.213641378441982
"111PS0095_8.27.09_1",0.40575790153617
"111PS0095_8.27.09_2",0.40575790153617
"111PS0121_7.20.10_1",0.36686136081031
"111PS0159_7.14.11_1",0.257932176788085
"111PS0169_7.25.11_1",0.27778184218393
"111PS0169_7.25.11_2",0.27778184218393
"111PS0178_8.14.12_1",0.301860705019757
"111PS0237_9.12.13_1",0.241773420729061
"112PS0157_7.12.11_1",0.296815586720544
"113GAR011_8.22.11_1",0.374383755423477
"113GAR011_9.1.10_1",0.374383755423477
"113GAR015_8.23.11_1",0.394847765075216
"113GAR015_8.31.10_1",0.394847765075216
"113GAR015_9.9.13_1",0.394847765075216
"113GAR023_7.22.14_1",0.376927639229729
"113GAR023_8.5.13_1",0.376927639229729
"113GAR030_8.26.09_1",0.382890107067598
"113GAR030_8.26.09_2",0.382890107067598
"113GAR030_8.28.12_1",0.382890107067598
"113GAR042_9.10.13_1",0.394692176253118
"113GAR062_6.30.09_1",0.389579918496255
"113GAR062_8.27.12_1",0.389579918496255
"113GAR087_6.29.10_1",0.387761428822908
"113GAR087_8.6.13_1",0.387761428822908
"113GAR087_9.11.12_1",0.387761428822908
"113GAR087_9.11.12_2",0.387761428822908
"113GAR089_6.14.10_1",0.340021763999309
"113GAR089_6.20.11_1",0.340021763999309
"113GAR089_8.5.09_1",0.340021763999309
"113GAR105_6.14.10_1",0.343341099735698
"113GAR105_6.20.11_1",0.343341099735698
"113GAR105_8.4.09_1",0.343341099735698
"113GAR112_6.15.10_1",0.353465632310509
"113GAR112_7.22.14_1",0.353465632310509
"113GAR112_8.22.11_1",0.353465632310509
"113GAR112_8.4.09_1",0.353465632310509
"113GAR112_8.4.09_2",0.353465632310509
"113GAR112_8.7.13_1",0.353465632310509
"113GAR118_7.26.10_1",0.358752210869886
"113GAR118_9.10.12_1",0.358752210869886
"113GAR178_6.21.11_1",0.330914970908771
"113GAR178_7.23.14_1",0.330914970908771
"113GAR178_8.31.10_1",0.330914970908771
"113GAR178_9.9.13_1",0.330914970908771
"113GAR178_9.9.13_2",0.330914970908771
"113GAR244_6.28.10_1",0.380939275681355
"113PS0012_9.9.08_1",0.33986241550689
"113PS0012_9.9.08_2",0.33986241550689
"113PS0076_8.2.12_1",0.353246584691461
"113PS0076_8.22.12_1",0.353246584691461
"113PS0120_9.14.10_1",0.320383148131323
"113PS0168_7.6.11_1",0.338560369802259
"113PS0216_9.3.13_1",0.719616301587302
"113PS0232_9.4.13_1",0.290616516949244
"113PS0232_9.4.13_2",0.290616516949244
"113PS0268_6.11.14_1",0.208298793837344
"114AU7778_6.21.10_1",0.418476040465383
"114FCA199_8.1.13_1",0.27586916465479
"114GV3469_7.5.11_1",0.352237498149003
"114GV5331_7.6.11_1",0.337260804404878
"114MA2364_7.6.10_1",0.276499220567869
"114MRCURX_6.24.08_1",0.269994514679113
"114PS0088_8.19.09_1",0.342041181828153
"114PS0209_6.10.13_1",0.331027746410056
"114PS0229_6.4.13_1",0.279358256167953
"114WER118_8.20.08_1",0.290720884090556
"115SALG01_6.30.10_1",0.407214501254107
"115SC6093_7.7.11_1",0.407957900369611
"115SC6093_7.7.11_2",0.407957900369611
"201LAG190_10.6.08_1",0.584776666666666
"201LAG380_7.14.09_1",0.599607222222222
"201RDW080_4.29.09_1",0.373295141399032
"201RDW080_5.7.08_1",0.373295141399032
"201RDW080_6.2.10_1",0.373295141399032
"201RDW080_6.23.08_1",0.373295141399032
"201RDW080_6.3.09_1",0.373295141399032
