"","Predicted"
"102PS0177_8.28.12_1",0.292987740800845
"103CDCHHR_9.14.10_1",0.437840873548966
"103STCNSR_8.9.11_1",0.127713608395278
"103WER026_8.15.12_1",0.26960258453381
"103WER029_7.16.14_1",0.335594298071106
"103WER030_8.10.11_1",0.336285376431644
"105BVCAGC_9.21.10_1",0.210605263281846
"105CE0329_7.23.14_1",0.261602632136411
"105CLCATC_8.10.10_1",0.221424274371517
"105DLCDCC_10.20.09_1",0.282283533723285
"105FCA116_7.16.13_1",0.290694541433907
"105FS0416_9.24.13_1",0.298440893588982
"105FS0425_8.10.11_1",0.157640931403955
"105FS0428_8.3.11_1",0.204356206905985
"105NWC151_6.26.13_1",0.288264247934285
"105PS0043_9.17.08_1",0.255179612415628
"105PS0083_9.8.09_1",0.281397948688291
"105PS0090_8.7.12_1",0.150171100436619
"105PS0097_7.22.14_1",0.255801600075748
"105PS0154_8.9.11_1",0.146011808956494
"105PS0195_8.7.12_1",0.146140707340261
"105PS0259_9.17.13_1",0.149546079065427
"105PS0267_7.21.14_1",0.267916815083032
"105PS0468_9.1.09_1",0.159779762982478
"105PS0540_9.15.10_1",0.383703930350319
"105PS1492_8.6.14_1",0.129381913556559
"105WE0598_7.24.14_1",0.212463860922463
"105WLC135_6.26.13_1",0.160331512134227
"105WLCABC_8.3.11_1",0.312997858888122
"106FS0040_8.30.11_1",0.407361325447864
"106PS0115_9.21.10_1",0.293393623194067
"106PS0124_8.16.10_1",0.270787973172217
"106PS0166_8.2.11_1",0.366825510748983
"106WE0505_7.21.14_1",0.227550422960497
"106WER011_9.11.13_1",0.153793016814915
"107PS0021_7.14.14_1",0.249364131583691
"107WER092_8.27.12_1",0.30932597188895
"111BBRBCC_9.23.09_1",0.130889031245143
"111CBCAER_8.8.13_1",0.251966098787143
"111ERATRC_10.10.12_1",0.256263017903794
"111FS0001_7.5.11_1",0.318959810038704
"111FS0008_7.19.12_1",0.270828537740444
"111HSCAER_7.26.11_1",0.219084779245966
"111PS0060_10.7.08_1",0.251418228264668
"111PS0110_6.9.14_1",0.181951887707618
