"","Predicted"
"103KLCMSR_9.14.10_1",0.236884932019914
"105PS0193_8.29.12_1",0.241426989338563
"105PS0660_8.3.10_1",0.288264247934285
"105TMCACC_8.10.10_1",0.298998364599671
"106MNCAHC_10.1.08_1",0.296468567253056
"106WE1079_8.8.12_1",0.269890727517342
"106WER016_10.20.09_1",0.253717147260058
"107LLM101_9.13.10_1",0.253267900039045
"111BGCAER_6.11.14_1",0.311881462744563
"111FS0007_7.11.11_1",0.269396381887045
"111PAL105_7.13.11_1",0.680452557021226
"202SPE090_6.15.09_1",0.494596507936506
"205AAG075_6.12.13_1",0.317319792962065
"205COY850_5.21.12_1",0.27416701469986
"205SFC880_6.19.12_1",0.287563285177622
"206BRC020_6.27.12_1",0.593162222222222
"207SUI290_6.4.12_1",0.333780852300687
"307CMRADC_5.20.14_1",0.174009546297258
"308LSRASC_7.18.11_1",0.266020181815937
"308MWCAH1_6.23.10_1",0.328852363933226
"308PS0156_6.19.12_1",0.329725729577002
"308ROCBBQ_6.21.12_1",0.265182691435048
"309ARCBRC_8.25.08_1",0.32760063574916
"309PS0116_6.16.11_1",0.333178697854763
"312PS0099_6.14.10_1",0.256344112574383
"315CHCALS_6.15.10_1",0.575677662835249
"402BA0095_5.29.08_1",0.287580496058061
"402M00009_6.29.15_1",0.246058396739131
"403S00960_6.2.10_1",0.274668610616366
"403S01536_7.12.11_1",0.234506307831497
"403WE0540_5.14.14_1",0.299454961014061
"403WE0683_5.15.13_1",0.301883703299607
"505PS0110_9.16.10_1",0.273872348477091
"513CCNASC_7.16.14_1",0.242414715899512
"513STCAIV_6.12.14_1",0.187425020473203
"513UNCAKC_9.23.09_1",0.295231396660515
"514SSC190_9.11.14_1",0.207045678865607
"517FCA046_8.14.13_1",0.27416283729728
"518BTCASC_6.12.13_1",0.210003531721257
"518FCA075_8.12.13_1",0.14772782480148
"518SPC134_6.18.13_1",0.426489354980628
"522GSCBSC_9.24.09_1",0.197149926547663
"522PS0504_6.11.13_1",0.219651888756649
"526PNCAMF_6.25.13_1",0.311394983016122
"526PS1420_6.25.13_1",0.310752548165762
"534MLC108_9.14.11_1",0.30022218303798
"536HLCBFM_6.18.13_1",0.263951892539735
"537TYCAML_7.16.08_1",0.645743805412875
"540SED003_8.30.11_1",0.41052457954595
"552DKC268_6.23.14_1",0.263832352074992
"552MFCAKR_6.11.08_1",0.309200749993645
"553KRNAYC_6.17.14_1",0.234487038147039
"554CLCALK_8.23.11_1",0.264578473572974
"603DDM005_9.13.11_1",0.16579981130633
"603FCA145_8.21.13_1",0.216970794661534
"603PS0008_7.30.08_1",0.191566978985393
"603PS0075_8.15.12_1",0.203137680803262
"603PS0109_7.29.08_1",0.317792661950453
"603PS0557_8.18.10_1",0.251130899731191
"603SPCBWC_7.22.08_1",0.341086464817479
"631DEP001_8.28.12_1",0.228484781807555
"631PS0033_8.30.10_1",0.184377065498565
"632ELD001_9.8.11_1",0.214092867325637
"634CAT055_10.4.11_1",0.29722923951505
"634GRF001_10.3.11_1",0.264735537227961
"634HHCATC_10.4.11_1",0.288807297029648
"634PS0035_9.1.10_1",0.201516643771404
"634PS0062_10.12.11_1",0.380648058637617
"634WSN001_10.4.11_1",0.374629484602309
"636SAG001_7.12.10_1",0.333491462758222
"639PS1279_6.11.13_1",0.217298996873916
"641OWC157_7.24.13_1",0.247604773003303
"722NP7IDC_4.16.14_1",0.285383537819829
"801DRC025_6.25.14_1",0.251160893654863
"801S03488_5.7.14_1",0.348879098753489
"801WE0674_5.14.13_1",0.249285762425384
"801WE1008_5.14.13_1",0.400767474265479
"801WE1132_8.19.09_1",0.492709886852278
"901ATCAAS_6.5.08_1",0.28308681372746
"901CSCADC_5.26.11_1",0.301045564235285
"901S06969_5.31.12_1",0.242435608364928
"903WE0798_4.8.15_1",0.34394362408311
"905BCC_6.11.14_1",0.252550878594682
"905S02561_5.25.11_1",0.216874414147464
"909JQCASR_6.1.11_1",0.209413530937544
"911S03354_5.5.09_1",0.184589966631207
"911TJIND2_5.8.08_1",0.23875863446616
"911TJLCC2_4.7.15_1",0.284902984506354
"SCFC1_6.12.08_1",0.271357657118265
"SCSS1_6.17.08_1",0.375803316925508
"SMAD1_11.5.08_1",0.604743282703886
"SMC00135_6.7.10_1",0.50651005146805
"SMC01979_7.14.11_1",0.329502749054681
"SMC02139_7.17.12_1",0.28710501240274
"SMC04204_7.11.12_1",0.312464128194143
"SMC04383_5.19.14_1",0.255653249650892
"SMC06467_6.28.10_1",0.362421599538108
"SMC19809_6.25.13_1",0.222713284669289
