"","Predicted"
"105PS0188_8.26.08_1",0.172806143467285
"105PS0188_8.26.08_2",0.172806143467285
"106FC1183_7.24.14_1",0.22795595590338
"106FC1313_7.23.14_1",0.254063188891932
"106PS0078_8.26.09_1",0.256409747193675
"106PS0173_8.4.11_1",0.249749384245228
"106PS0186_9.26.12_1",0.290519043720977
"109PS0162_7.20.11_1",0.400727510639499
"110ECSLSF_7.26.11_1",0.399116166162533
"110FCA102_7.25.13_1",0.505882869458129
"111CR1012_8.18.14_1",0.279211898454371
"111PS0057_8.18.08_1",0.29224369846521
"113GAR010_6.8.09_1",0.357437256983193
"113GAR010_8.27.12_1",0.357437256983193
"113GAR038_6.8.09_1",0.360652590442005
"113GAR038_9.10.12_1",0.360652590442005
"113GAR046_6.18.12_1",0.382956773734265
"113GAR046_6.8.09_1",0.382956773734265
"113GAR046_9.2.14_1",0.382956773734265
"113GAR061_6.19.12_1",0.399986395316387
"113GAR061_7.1.09_1",0.399986395316387
"113GAR061_9.3.14_1",0.399986395316387
"113GAR061_9.3.14_2",0.399986395316387
"113GAR084_6.28.10_1",0.400419033931955
"113GAR094_7.27.10_1",0.382956773734265
"113GAR094_7.27.10_2",0.382956773734265
"113GAR110_6.18.12_1",0.359301003140417
"113GAR110_6.30.09_1",0.359301003140417
"113GAR110_9.2.14_1",0.359301003140417
"113PS0084_8.18.09_1",0.403703057011215
"113PS0100_8.25.09_1",0.270917262804534
"113PS0132_9.15.10_1",0.334253091294529
"113PS0196_8.1.12_1",0.326067820070213
"114CR0903_8.26.13_1",0.263925233371077
"114CR0903_9.25.13_1",0.263925233371077
"114PS0149_7.10.12_1",0.344725848118587
"114PS0152_7.7.11_1",0.422135688263978
"114PS0152_8.18.11_1",0.422135688263978
"114RR1041_10.10.11_1",0.322694348762836
"114RR1041_10.25.11_1",0.322694348762836
"114RR1041_10.25.11_2",0.322694348762836
"114RR1041_8.2.11_1",0.322694348762836
"114RR1041_9.7.11_1",0.322694348762836
"114RR1310_6.2.11_1",0.322694348762836
"114RR1599_10.10.11_1",0.322694348762836
"114RR1599_10.25.11_1",0.322694348762836
"114RR1599_6.2.11_1",0.322694348762836
"114RR1599_6.27.11_1",0.322694348762836
"114RR1599_8.2.11_1",0.322694348762836
"114RR1599_8.2.11_2",0.322694348762836
"114RR1599_9.7.11_1",0.322694348762836
"114RR2678_10.11.11_1",0.268250578138505
"114RR2678_10.24.11_1",0.268250578138505
"114RR2678_6.29.11_1",0.268250578138505
"114RR2678_8.1.11_1",0.268250578138505
"114RR2678_9.13.11_1",0.268250578138505
"114RR2769_6.1.11_1",0.272282236142337
"114RR2899_10.11.11_1",0.266885679831934
"114RR2899_10.24.11_1",0.266885679831934
"114RR2899_6.1.11_1",0.266885679831934
"114RR2899_6.29.11_1",0.266885679831934
"114RR2899_8.1.11_1",0.266885679831934
"114RR2899_9.13.11_1",0.266885679831934
"202BUT850_6.4.13_1",0.408791295566141
"202PS0134_5.31.11_1",0.644200035577449
